"36L","36R","01"
NA,16.2462162162162,7.0138807681284
NA,12.7931125827815,6.48200692041522
9.43385542168675,10.8268007312614,7.03137551581843
8.19308411214953,10.6000129567245,9.96154185022026
NA,12.5481818181818,8.01325259515571
9.30406779661017,11.9319683413627,8.20430799220273
NA,11.8419274092616,7.24236245954693
NA,11.4185575992256,7.46854734111543
NA,10.9557662624035,9.20799476896251
9.08238805970149,11.7278887744593,8.81351485148515
NA,10.7616913319239,8.44610785463071
8.99934426229508,12.8820930232558,9.98445497630332
9.53428571428571,9.79331193838254,NA
8.25083333333333,9.00906208718626,NA
8.98493827160494,11.8548264984227,NA
7.50363636363636,11.8052760736196,NA
7.00582582582583,12.3622310756972,NA
4.59177691309987,15.5540323249068,12.011393728223
NA,NA,NA
5.57330448465775,11.8532477535302,NA
6.32891064098516,13.1697092419522,10.6704411764706
5.29300411522634,15.0183353010626,10.3032328308208
6.48785388127854,12.5435802469136,NA
5.41270194986072,14.5993129770992,NA
5.62440105890139,15.2331446540881,NA
5.97523452157598,18.0862683438155,NA
6.64929577464789,14.2733333333333,NA
NA,NA,NA
7.97886639676113,16.4673776908023,NA
3.22899082568807,7.11556451612903,6.51
NA,14.3514285714286,NA
NA,NA,NA
NA,NA,NA
