"36L","36R","01"
NA,4.22,5.13
NA,5.24,4.7
10.53,3.67,5.97
12.62,3.45,5.99
NA,4.52,5.53
10.34,3.95,5.63
NA,5.7,6.39
NA,7.11,6.75
NA,6.16,7.69
10.44,4.82,6.46
NA,8.64,6.99
12.14,5.33,8.23
9.44,4.19,NA
7.72,3.02,NA
6.62,3.06,NA
5.56,3.98,NA
5.82,5.08,NA
6.94,5.24,11.79
5.41,7.79,NA
6.23,5.58,NA
7.02,4.89,10.62
6.8,5.51,12.01
5.64,5.87,NA
6.26,4.79,NA
5.23,5.27,NA
4.9,6.05,NA
5,6.31,NA
NA,NA,NA
7.76,6.47,NA
11.56,9.58,10.08
NA,7.22,NA
NA,NA,NA
NA,NA,NA
