"36L","36R","01"
12,11.1428571428571,6.66666666666667
14,10.9230769230769,5.13888888888889
16.85,7.61290322580645,6.78571428571429
16.625,5.31578947368421,10
16,10.7916666666667,4.875
15,9.11111111111111,6.85714285714286
18.8260869565217,10.7471264367816,9.49230769230769
17.7027027027027,12.3491379310345,8.3421052631579
15.3333333333333,11.2708333333333,9.89130434782609
16.6410256410256,9.83333333333333,7.73333333333333
14.671875,12.736,8.15384615384615
14.8076923076923,9.92857142857143,11.0588235294118
14.2884615384615,8.77941176470588,12.5
11.2857142857143,8.86666666666667,11.3333333333333
12.0526315789474,7.33333333333333,NA
8.125,9.6,NA
8.27272727272727,11.037037037037,15.5
7.86561264822134,12.2348484848485,14.7142857142857
NA,NA,NA
8.0656455142232,10.1409691629956,NA
10.1922428330523,10.3617021276596,12.6666666666667
9.65269461077844,12.9690721649485,15.1666666666667
6.32432432432432,11.1,14.5
8.78235294117647,10,15
8.36363636363636,12.6470588235294,13.3333333333333
7.48936170212766,12.375,NA
9.19354838709677,15.3333333333333,NA
NA,NA,NA
11.027027027027,15.375,16
13.3872832369942,13.3365384615385,12.4736842105263
16.8965517241379,17.2285714285714,12
NA,12.5,18
NA,15,NA
