"dep36l","dep36r","dep01","arr36l","arr36r","arr01"
2,0,10,25,27,0
3,5,0,3,8,0
1,4,0,4,1,0
0,2,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
6,10,6,2,0,1
16,31,17,3,0,2
21,35,19,6,0,8
18,24,16,14,6,13
8,19,5,16,12,20
7,21,16,16,11,18
12,21,13,14,9,17
11,22,13,15,7,19
7,20,17,16,13,15
8,18,9,19,10,20
9,15,15,16,15,20
11,21,15,18,8,16
10,24,13,20,8,24
9,21,11,12,12,15
11,24,16,16,8,19
10,16,3,13,10,22
8,13,2,19,14,20
0,5,6,20,20,10
1,4,2,23,21,0
1,6,0,2,10,0
3,5,0,0,5,0
2,1,0,0,5,0
0,3,0,2,3,0
0,0,0,0,4,0
2,0,2,0,0,0
24,32,15,4,0,1
25,27,21,7,0,10
16,24,14,9,8,15
9,14,6,13,14,22
9,23,14,21,8,20
13,21,13,16,11,19
14,24,16,13,8,15
4,21,14,14,10,19
9,14,13,17,17,18
7,22,16,19,8,21
10,23,13,16,6,14
5,20,7,21,6,26
12,22,13,22,3,20
15,16,14,13,9,17
11,18,3,15,9,19
4,12,4,19,15,22
1,4,6,25,22,8
2,4,4,18,23,0
1,5,0,5,6,0
3,7,0,2,4,0
0,3,0,0,2,0
2,2,0,2,4,0
2,3,0,1,7,0
2,1,0,1,8,0
0,0,0,0,0,0
7,9,8,2,0,4
17,28,17,14,4,17
14,23,13,17,8,19
11,26,14,17,2,15
11,22,8,17,6,18
11,22,11,14,10,18
6,24,12,17,7,19
11,17,12,15,14,20
8,18,16,20,11,18
11,17,13,15,9,17
5,18,7,14,11,19
5,22,9,17,10,14
9,16,13,16,10,16
10,20,3,10,8,14
4,8,4,18,16,14
1,2,4,23,19,6
1,5,3,15,18,0
0,9,0,0,8,0
0,8,0,0,2,0
0,2,0,0,3,0
0,2,0,0,6,0
0,4,0,0,12,0
3,5,4,0,6,1
21,25,19,5,0,3
26,30,15,4,0,9
18,28,12,14,4,12
10,17,3,15,11,23
7,21,15,18,9,18
8,21,13,20,7,20
14,27,12,15,4,19
10,22,12,16,8,19
10,18,12,14,8,19
5,18,11,19,12,21
9,25,17,19,9,17
6,20,7,17,11,23
