11,23,20,20,23,18,19,29,27,24,20,21,23,24,22,24,20,24,23,26,27,19,22,19,18,24,30,24,10,4,1,3,6,4,4,5,6,3,4,5,6,4,7,3,1,3,6,4,5,7,4,2,0,6,5,6,8,3,3,0,0,16,20,30,23,18,25,24,24,26,23,26,25,25,26,23,28,24,24,25,27,28,29,24,28,27,26,23,25,17,23,24,29,28,25,30,26,23,27,23,31,30,28,24,27,29,30,22,28,23,27,28,38,23,24,22,18,24,26,25
12,23,18,20,25,19,23,29,26,23,24,28,24,24,21,21,21,18,26,21,24,23,19,19,15,22,23,25,4,3,1,3,4,4,5,4,3,2,4,4,5,2,5,4,3,5,5,3,4,5,2,3,2,3,5,6,5,2,5,0,0,27,26,25,11,13,28,27,25,24,29,26,24,24,23,26,25,28,25,26,33,30,28,27,24,24,24,26,30,3,28,16,26,25,21,25,29,28,22,23,31,29,25,19,26,27,23,22,27,20,24,32,33,27,23,21,28,25,21,29
11,14,14,20,21,22,29,37,18,23,24,27,22,22,18,17,21,22,23,19,17,19,20,21,17,16,21,20,5,2,2,3,1,2,5,2,1,2,2,1,3,2,3,1,4,3,4,1,4,9,1,2,5,2,3,3,1,3,3,0,1,17,20,23,14,10,26,25,25,19,27,25,25,25,17,29,22,24,24,23,30,29,26,28,25,19,23,26,25,3,28,15,23,25,20,25,27,26,24,21,22,27,20,24,27,24,19,20,23,21,24,30,29,31,19,23,28,25,18,25
7,4,13,15,14,20,23,40,24,16,17,21,14,11,7,22,19,19,24,21,22,23,22,18,17,19,21,21,7,5,3,5,3,2,4,4,2,3,3,2,6,1,5,3,4,3,6,6,2,7,4,4,5,2,3,4,4,4,1,0,3,15,18,23,14,11,22,14,24,19,21,24,20,20,20,23,21,25,24,27,20,30,27,23,25,19,21,27,24,3,30,10,24,18,21,27,18,22,24,15,18,19,17,20,24,22,15,20,19,23,19,28,27,27,24,19,26,21,18,27
4,5,7,8,3,13,26,46,23,9,13,10,8,7,9,15,18,16,19,16,15,22,18,14,9,11,21,21,5,2,4,2,3,2,2,4,2,3,2,3,6,3,3,2,1,0,4,3,3,4,5,4,3,3,2,2,3,4,3,0,5,14,18,17,10,13,22,15,23,12,15,21,19,12,18,14,22,27,18,20,18,27,24,29,22,21,19,17,12,4,32,4,22,15,17,25,10,17,24,10,15,19,17,20,22,19,19,32,11,23,15,29,15,30,19,10,18,14,17,31
8,7,7,5,6,10,11,43,25,9,9,6,10,5,5,10,13,18,8,11,9,11,17,9,12,7,14,13,2,4,3,4,3,1,2,4,4,2,3,3,6,2,2,5,4,3,1,2,4,2,5,2,2,5,4,3,3,3,2,0,8,11,19,12,6,5,9,14,17,12,13,16,6,13,15,13,15,21,16,16,9,30,23,20,22,18,18,12,8,7,34,7,15,7,11,23,6,22,19,5,12,16,21,14,16,21,20,25,12,19,15,32,8,18,13,5,16,17,7,21
8,7,7,7,10,8,7,42,23,9,11,6,6,8,5,9,13,9,8,5,8,4,10,8,5,7,6,10,4,5,2,7,2,2,4,3,4,5,4,4,2,4,7,5,4,6,4,3,5,5,4,3,3,3,2,3,5,2,2,0,5,6,13,9,7,6,6,6,11,8,8,11,5,6,10,7,8,16,15,10,7,24,25,15,16,15,12,7,10,11,38,9,11,7,10,25,3,18,11,14,13,10,11,14,12,20,13,28,7,18,18,25,8,14,7,6,8,9,10,13
7,5,6,9,8,6,8,19,16,11,14,9,9,10,8,11,12,13,8,4,7,7,7,6,6,7,7,5,4,4,5,5,5,5,5,6,5,2,3,4,3,5,4,4,5,4,8,6,5,4,5,3,2,4,5,6,6,7,1,0,4,3,8,6,7,5,4,3,10,3,4,6,5,2,8,6,5,14,8,6,5,21,28,8,11,11,5,13,5,8,32,6,9,7,8,25,5,15,10,11,8,8,2,13,14,15,12,20,4,13,13,20,7,8,7,8,6,7,10,8
2,2,3,3,9,6,8,17,15,11,8,5,7,11,6,7,6,7,10,6,11,6,8,1,4,6,9,5,4,4,4,1,3,6,4,3,4,2,3,3,4,3,4,4,2,1,6,6,3,3,6,3,4,2,4,5,7,6,3,0,4,9,6,8,4,5,3,4,5,7,7,4,5,8,6,6,6,13,5,1,9,18,17,11,7,5,5,3,7,7,30,5,7,8,6,29,5,11,6,5,7,7,5,8,12,12,7,18,6,8,4,18,5,9,7,5,6,7,12,5
3,5,4,1,2,6,5,20,8,7,4,0,5,6,2,2,4,6,11,6,7,7,9,1,5,2,8,5,2,0,2,1,1,1,3,4,5,1,0,1,1,3,2,4,2,1,3,3,3,2,3,1,5,1,1,4,6,5,3,0,7,9,5,5,2,3,3,3,6,8,8,4,6,6,7,4,5,7,5,4,6,20,7,10,6,4,5,3,5,6,26,5,4,5,5,27,1,11,2,3,9,7,4,5,6,10,12,14,5,5,7,17,8,10,7,3,5,9,11,3
