"","x"
"1705",41
"1706",41
"1707",32
"1708",41
"1709",32
"1710",32
"1711",48
"1712",48
"1713",48
"1714",48
"1715",41
"1716",48
"1717",48
"1718",48
"1719",41
"1720",48
"1721",48
"1722",48
"1723",48
"1724",48
"1725",48
"1726",48
"1727",48
"1728",48
"1729",48
"1730",48
"1731",48
"1732",43
"1733",43
"1734",48
"1735",48
"1736",48
"1737",43
"1738",48
"1739",48
"1740",43
"1741",48
"1742",43
"1743",48
"1744",43
"1745",43
"1746",43
"1747",43
"1748",43
"1749",43
"1750",43
"1751",43
"1752",43
"1753",43
"1754",43
"1755",42
"1756",43
"1757",43
"1758",42
"1759",43
"1760",42
"1761",48
"1762",42
"1763",43
"1764",43
"1765",42
"1766",48
"1767",42
"1768",42
"1769",42
"1770",42
"1771",42
"1772",42
"1773",42
"1774",48
"1775",42
"1776",42
"1777",48
"1778",42
"1779",48
"1780",48
"1781",48
"1782",42
"1783",42
"1784",48
"1785",48
"1786",48
"1787",48
"1788",48
"1789",48
"1790",42
"1791",48
"1792",48
"1793",48
"1794",48
"1795",42
"1796",48
"1797",42
"1798",48
"1799",48
"1800",48
"1801",37
"1802",42
"1803",42
"1804",42
"1805",42
"1806",42
"1807",48
"1808",42
"1809",42
"1810",37
"1811",48
"1812",42
"1813",42
"1814",42
"1815",37
"1816",37
"1817",42
"1818",37
"1819",42
"1820",37
"1821",42
"1822",42
"1823",37
"1824",42
"1825",42
"1826",37
"1827",37
"1828",37
"1829",37
"1830",37
"1831",37
"1832",37
"1833",28
"1834",37
"1835",37
"1836",37
"1837",37
"1838",28
"1839",28
"1840",28
"1841",28
"1842",28
"1843",28
"1844",28
"1845",28
"1846",37
"1847",37
"1848",28
"1849",28
"1850",27
"1851",27
"1852",27
"1853",28
"1854",28
"1855",28
"1856",27
"1857",28
"1858",27
"1859",22
"1860",22
"1861",22
"1862",27
"1863",27
"1864",27
"1865",27
"1866",27
"1867",27
"1868",27
"1869",27
"1870",22
"1871",12
"1872",22
"1873",12
"1874",22
"1875",22
"1876",22
"1877",22
"1878",22
"1879",22
"1880",22
"1881",12
"1882",10
"1883",10
"1884",11
"1885",10
"1886",12
"1887",9
"1888",11
"1889",9
"1890",10
"1891",10
"1892",10
"1893",11
"1894",10
"1895",9
"1896",9
"1897",9
"1898",10
"1899",10
"1900",13
"1901",11
"1902",11
"1903",11
"1904",12
"1905",9
"1906",13
"1907",13
"1908",6
"1909",7
"1910",8
"1911",8
"1912",8
"1913",7
"1914",13
"1915",11
"1916",15
"1917",15
"1918",16
"1919",12
"1920",15
"1921",16
"1922",16
"1923",16
"1924",16
"1925",16
"1926",15
"1927",15
"1928",24
"1929",24
"1930",24
"1931",27
"1932",15
"1933",27
"1934",24
"1935",28
"1936",37
"1937",28
"1938",28
"1939",24
"1940",28
"1941",37
"1942",28
"1943",37
"1944",27
"1945",27
"1946",28
"1947",37
"1948",27
"1949",37
"1950",28
"1951",28
"1952",28
"1953",28
"1954",27
"1955",28
"1956",28
"1957",37
"1958",28
"1959",28
"1960",28
"1961",28
"1962",37
"1963",37
"1964",37
"1965",28
"1966",37
"1967",28
"1968",28
"1969",37
"1970",37
"1971",28
"1972",37
"1973",28
"1974",28
"1975",28
"1976",37
"1977",40
"1978",40
"1979",40
"1980",28
"1981",28
"1982",31
"1983",40
"1984",42
"1985",40
"1986",42
"1987",42
"1988",40
"1989",42
"1990",31
"1991",42
"1992",42
"1993",40
"1994",40
"1995",42
"1996",42
"1997",42
"1998",40
"1999",42
"2000",42
"2001",40
"2002",40
"2003",40
"2004",40
"2005",40
"2006",40
"2007",40
"2008",40
"2009",40
"2010",40
"2011",40
"2012",42
"2013",40
"2014",40
"2015",40
"2016",38
"2017",38
"2018",40
"2019",38
"2020",38
"2021",38
"2022",38
"2023",37
"2024",37
"2025",38
"2026",37
"2027",38
"2028",38
"2029",40
"2030",30
"2031",37
"2032",37
"2033",37
"2034",30
"2035",37
"2036",37
"2037",37
"2038",37
"2039",38
"2040",30
"2041",30
"2042",30
"2043",30
"2044",30
"2045",30
"2046",30
"2047",37
"2048",37
"2049",36
"2050",27
"2051",36
"2052",30
"2053",30
"2054",30
"2055",30
"2056",30
"2057",36
"2058",40
"2059",36
"2060",27
"2061",36
"2062",36
"2063",40
"2064",36
"2065",41
"2066",41
"2067",41
"2068",40
"2069",36
"2070",36
"2071",36
"2072",36
"2073",36
"2074",30
"2075",29
"2076",35
"2077",30
"2078",30
"2079",29
"2080",29
"2081",35
"2082",30
"2083",35
"2084",35
"2085",35
"2086",30
"2087",35
"2088",38
"2089",38
"2090",30
"2091",38
"2092",35
"2093",38
"2094",38
"2095",41
"2096",41
"2097",35
"2098",38
"2099",41
"2100",38
"2101",35
"2102",38
"2103",41
"2104",41
"2105",41
"2106",41
"2107",41
"2108",41
"2109",38
"2110",41
"2111",51
"2112",38
"2113",51
"2114",51
"2115",41
"2116",51
"2117",51
"2118",38
"2119",51
"2120",45
"2121",51
"2122",51
"2123",51
"2124",51
"2125",41
"2126",51
"2127",51
"2128",51
"2129",45
"2130",45
"2131",51
"2132",51
"2133",51
"2134",45
"2135",51
"2136",51
"2137",51
"2138",45
"2139",46
"2140",45
"2141",45
"2142",46
"2143",45
"2144",51
"2145",46
"2146",45
"2147",51
"2148",51
"2149",45
"2150",46
"2151",46
"2152",45
"2153",46
"2154",45
"2155",45
"2156",45
"2157",45
"2158",45
"2159",46
"2160",46
"2161",46
"2162",46
"2163",46
"2164",46
"2165",46
"2166",46
"2167",46
"2168",45
"2169",46
"2170",46
"2171",46
"2172",39
"2173",39
"2174",39
"2175",46
"2176",46
"2177",39
"2178",46
"2179",46
"2180",46
"2181",46
"2182",46
"2183",39
"2184",39
"2185",39
"2186",39
"2187",39
"2188",36
"2189",39
"2190",39
"2191",39
"2192",39
"2193",39
"2194",39
"2195",36
"2196",36
"2197",36
"2198",36
"2199",36
"2200",36
"2201",36
"2202",36
"2203",36
"2204",36
"2205",36
"2206",36
"2207",39
"2208",36
"2209",36
"2210",36
"2211",36
"2212",36
"2213",36
"2214",36
"2215",36
"2216",36
"2217",36
"2218",36
"2219",36
"2220",36
"2221",36
"2222",37
"2223",39
"2224",39
"2225",36
"2226",36
"2227",36
"2228",36
"2229",36
"2230",36
"2231",39
"2232",37
"2233",39
"2234",39
"2235",37
"2236",39
"2237",39
"2238",37
"2239",39
"2240",36
"2241",39
"2242",39
"2243",39
"2244",39
"2245",37
"2246",37
"2247",37
"2248",37
"2249",37
"2250",27
"2251",37
"2252",39
"2253",39
"2254",37
"2255",39
"2256",37
"2257",37
"2258",37
"2259",27
"2260",27
"2261",37
"2262",27
"2263",37
"2264",37
"2265",37
"2266",37
"2267",27
"2268",22
"2269",27
"2270",27
"2271",27
"2272",27
"2273",27
"2274",27
"2275",27
"2276",37
"2277",27
"2278",22
"2279",22
"2280",22
"2281",22
"2282",22
"2283",22
"2284",27
"2285",27
"2286",27
"2287",27
"2288",22
"2289",15
"2290",15
"2291",15
"2292",22
"2293",22
"2294",15
"2295",22
"2296",15
"2297",9
"2298",9
"2299",10
"2300",10
"2301",10
"2302",9
"2303",9
"2304",9
"2305",10
"2306",9
"2307",10
"2308",10
"2309",12
"2310",11
"2311",11
"2312",11
"2313",12
"2314",11
"2315",11
"2316",11
"2317",11
"2318",10
"2319",13
"2320",13
"2321",13
"2322",10
"2323",11
"2324",11
"2325",9
"2326",11
"2327",10
"2328",10
"2329",10
"2330",6
"2331",6
"2332",7
"2333",10
"2334",12
"2335",12
"2336",12
"2337",14
"2338",12
"2339",12
"2340",14
"2341",14
"2342",12
"2343",12
"2344",20
"2345",18
"2346",18
"2347",18
"2348",20
"2349",18
"2350",23
"2351",18
"2352",18
"2353",23
"2354",23
"2355",23
"2356",20
"2357",20
"2358",23
"2359",23
"2360",17
"2361",23
"2362",23
"2363",17
"2364",23
"2365",17
"2366",17
"2367",17
"2368",17
"2369",17
"2370",23
"2371",25
"2372",17
"2373",17
"2374",17
"2375",17
"2376",25
"2377",24
"2378",25
"2379",24
"2380",24
"2381",24
"2382",25
"2383",24
"2384",24
"2385",21
"2386",24
"2387",24
"2388",24
"2389",24
"2390",24
"2391",21
"2392",21
"2393",24
"2394",24
"2395",21
"2396",21
"2397",21
"2398",25
"2399",25
"2400",25
"2401",21
"2402",21
"2403",21
"2404",25
"2405",31
"2406",25
"2407",31
"2408",25
"2409",25
"2410",25
"2411",33
"2412",31
"2413",31
"2414",33
"2415",33
"2416",31
"2417",31
"2418",31
"2419",31
"2420",31
"2421",34
"2422",36
"2423",36
"2424",36
"2425",33
"2426",31
"2427",33
"2428",33
"2429",33
"2430",36
"2431",36
"2432",33
"2433",36
"2434",36
"2435",33
"2436",36
"2437",36
"2438",36
"2439",34
"2440",36
"2441",34
"2442",34
"2443",36
"2444",34
"2445",34
"2446",34
"2447",36
"2448",34
"2449",36
"2450",36
"2451",36
"2452",34
"2453",39
"2454",38
"2455",38
"2456",38
"2457",38
"2458",38
"2459",38
"2460",38
"2461",38
"2462",39
"2463",39
"2464",38
"2465",38
"2466",39
"2467",38
"2468",39
"2469",39
"2470",38
"2471",36
"2472",38
"2473",39
"2474",39
"2475",36
"2476",39
"2477",36
"2478",39
"2479",39
"2480",39
"2481",39
"2482",39
"2483",39
"2484",36
"2485",36
"2486",39
"2487",39
"2488",36
"2489",33
"2490",36
"2491",39
"2492",33
"2493",39
"2494",36
"2495",36
"2496",36
"2497",39
