"","x"
"1",31
"2",31
"3",31
"4",31
"5",31
"6",31
"7",31
"8",31
"9",33
"10",31
"11",33
"12",33
"13",33
"14",31
"15",40
"16",33
"17",31
"18",31
"19",31
"20",33
"21",31
"22",31
"23",36
"24",36
"25",36
"26",36
"27",30
"28",36
"29",30
"30",30
"31",39
"32",39
"33",39
"34",36
"35",39
"36",39
"37",36
"38",39
"39",39
"40",39
"41",46
"42",42
"43",39
"44",39
"45",46
"46",42
"47",42
"48",42
"49",39
"50",50
"51",46
"52",42
"53",42
"54",50
"55",46
"56",42
"57",46
"58",50
"59",46
"60",42
"61",50
"62",51
"63",46
"64",46
"65",50
"66",50
"67",50
"68",46
"69",46
"70",46
"71",50
"72",50
"73",50
"74",50
"75",46
"76",50
"77",51
"78",46
"79",51
"80",51
"81",50
"82",50
"83",51
"84",50
"85",51
"86",51
"87",50
"88",50
"89",51
"90",48
"91",51
"92",51
"93",48
"94",51
"95",51
"96",51
"97",51
"98",50
"99",51
"100",51
"101",48
"102",48
"103",48
"104",48
"105",51
"106",48
"107",48
"108",48
"109",51
"110",51
"111",48
"112",48
"113",45
"114",49
"115",48
"116",48
"117",48
"118",48
"119",49
"120",48
"121",48
"122",49
"123",49
"124",45
"125",45
"126",49
"127",48
"128",45
"129",45
"130",48
"131",45
"132",45
"133",50
"134",45
"135",45
"136",49
"137",49
"138",50
"139",50
"140",45
"141",45
"142",45
"143",49
"144",45
"145",50
"146",50
"147",49
"148",49
"149",50
"150",50
"151",49
"152",50
"153",49
"154",50
"155",49
"156",49
"157",50
"158",28
"159",28
"160",23
"161",23
"162",23
"163",23
"164",23
"165",28
"166",28
"167",28
"168",33
"169",28
"170",23
"171",28
"172",28
"173",33
"174",33
"175",33
"176",28
"177",33
"178",41
"179",28
"180",33
"181",41
"182",41
"183",41
"184",33
"185",41
"186",41
"187",41
"188",33
"189",28
"190",41
"191",41
"192",41
"193",45
"194",45
"195",41
"196",41
"197",33
"198",45
"199",41
"200",45
"201",44
"202",45
"203",45
"204",45
"205",45
"206",45
"207",41
"208",45
"209",45
"210",45
"211",44
"212",45
"213",44
"214",45
"215",44
"216",44
"217",45
"218",45
"219",41
"220",45
"221",44
"222",44
"223",39
"224",39
"225",39
"226",44
"227",44
"228",44
"229",44
"230",44
"231",44
"232",44
"233",39
"234",44
"235",44
"236",44
"237",44
"238",44
"239",39
"240",39
"241",44
"242",44
"243",44
"244",39
"245",39
"246",39
"247",45
"248",39
"249",45
"250",39
"251",39
"252",39
"253",44
"254",39
"255",45
"256",45
"257",45
"258",45
"259",45
"260",45
"261",45
"262",39
"263",39
"264",45
"265",45
"266",39
"267",45
"268",45
"269",47
"270",47
"271",47
"272",45
"273",45
"274",47
"275",47
"276",47
"277",45
"278",47
"279",45
"280",47
"281",47
"282",47
"283",47
"284",47
"285",47
"286",47
"287",47
"288",47
"289",47
"290",45
"291",47
"292",34
"293",30
"294",47
"295",47
"296",47
"297",47
"298",47
"299",47
"300",47
"301",30
"302",34
"303",47
"304",30
"305",30
"306",30
"307",34
"308",34
"309",30
"310",30
"311",34
"312",34
"313",30
"314",30
"315",34
"316",34
"317",34
"318",27
"319",34
"320",27
"321",34
"322",34
"323",34
"324",27
"325",27
"326",27
"327",27
"328",27
"329",27
"330",27
"331",34
"332",27
"333",27
"334",27
"335",27
"336",47
"337",34
"338",47
"339",34
"340",34
"341",47
"342",47
"343",47
"344",47
"345",54
"346",54
"347",47
"348",47
"349",47
"350",47
"351",34
"352",47
"353",54
"354",54
"355",54
"356",54
"357",54
"358",54
"359",47
"360",54
"361",47
"362",54
"363",54
"364",53
"365",54
"366",54
"367",54
"368",54
"369",53
"370",54
"371",54
"372",54
"373",54
"374",54
"375",53
"376",53
"377",53
"378",53
"379",53
"380",53
"381",54
"382",53
"383",53
"384",53
"385",54
"386",54
"387",53
"388",52
"389",53
"390",53
"391",52
"392",52
"393",53
"394",53
"395",53
"396",52
"397",52
"398",53
"399",53
"400",52
"401",52
"402",52
"403",52
"404",52
"405",52
"406",52
"407",52
"408",52
"409",53
"410",52
"411",52
"412",52
"413",52
"414",52
"415",38
"416",52
"417",52
"418",52
"419",52
"420",52
"421",38
"422",38
"423",52
"424",38
"425",38
"426",38
"427",39
"428",38
"429",46
"430",52
"431",38
"432",52
"433",52
"434",46
"435",38
"436",46
"437",46
"438",39
"439",46
"440",38
"441",46
"442",38
"443",46
"444",38
"445",46
"446",46
"447",46
"448",46
"449",46
"450",39
"451",46
"452",46
"453",39
"454",39
"455",46
"456",46
"457",39
"458",40
"459",39
"460",46
"461",40
"462",39
"463",39
"464",40
"465",40
"466",39
"467",39
"468",39
"469",40
"470",39
"471",40
"472",40
"473",39
"474",40
"475",39
"476",40
"477",39
"478",40
"479",24
"480",21
"481",24
"482",21
"483",21
"484",21
"485",40
"486",24
"487",34
"488",24
"489",34
"490",34
"491",24
"492",24
"493",31
"494",40
"495",40
"496",34
"497",40
"498",34
"499",34
"500",34
"501",40
"502",40
"503",40
"504",40
"505",40
"506",40
"507",40
"508",40
"509",40
"510",40
"511",40
"512",40
"513",31
"514",31
"515",31
"516",31
"517",40
"518",40
"519",31
"520",40
"521",31
"522",31
"523",31
"524",36
"525",31
"526",36
"527",31
"528",31
"529",31
"530",31
"531",36
"532",31
"533",31
"534",31
"535",44
"536",36
"537",36
"538",36
"539",36
"540",36
"541",44
"542",36
"543",44
"544",31
"545",31
"546",36
"547",40
"548",44
"549",44
"550",44
"551",44
"552",44
"553",44
"554",44
"555",44
"556",36
"557",44
"558",36
"559",35
"560",35
"561",34
"562",34
"563",35
"564",35
"565",35
"566",34
"567",34
"568",34
"569",30
"570",30
"571",35
"572",35
"573",30
"574",35
"575",35
"576",34
"577",30
"578",34
"579",34
"580",35
"581",35
"582",34
"583",30
"584",35
"585",30
"586",33
"587",34
"588",34
"589",33
"590",34
"591",34
"592",34
"593",30
"594",33
"595",33
"596",34
"597",33
"598",33
"599",33
"600",33
"601",33
"602",32
"603",33
"604",32
"605",34
"606",33
"607",33
"608",32
"609",29
"610",32
"611",33
"612",32
"613",32
"614",32
"615",32
"616",29
"617",32
"618",32
"619",29
"620",32
"621",32
"622",32
"623",32
"624",29
"625",29
"626",29
"627",29
"628",29
"629",29
"630",29
"631",32
"632",29
"633",30
"634",30
"635",30
"636",30
"637",30
"638",30
"639",30
"640",26
"641",26
"642",30
"643",26
"644",30
"645",30
"646",30
"647",26
"648",26
"649",26
"650",26
"651",26
"652",26
"653",26
"654",23
"655",23
"656",23
"657",26
"658",26
"659",23
"660",27
"661",23
"662",27
"663",27
"664",23
"665",27
"666",23
"667",27
"668",23
"669",30
"670",30
"671",30
"672",27
"673",30
"674",27
"675",27
"676",27
"677",30
"678",36
"679",30
"680",36
"681",36
"682",30
"683",36
"684",30
"685",36
"686",36
"687",36
"688",36
"689",36
"690",27
"691",36
"692",36
"693",30
"694",36
"695",27
"696",36
"697",27
"698",36
"699",27
"700",36
"701",36
"702",36
"703",27
"704",27
"705",27
"706",27
"707",27
"708",27
"709",27
"710",27
"711",27
"712",25
"713",31
"714",25
"715",25
"716",27
"717",25
"718",25
"719",25
"720",25
"721",25
"722",31
"723",31
"724",31
"725",31
"726",31
