"dep_count_per15","arr_count_per15","pb_count_per15","heavy_dep_per15","heavy_arr_per15","dep_demand_per15","dep_taxi_per_window"
2,11,1,0,3,4,6
1,9,1,1,6,2,8
2,13,3,0,4,4,12
3,6,2,1,1,4,8
2,10,1,1,2,2,6
0,10,0,0,1,0,0
0,12,1,0,4,1,12
1,11,1,1,2,2,7
2,9,2,2,4,3,10
2,8,1,2,3,2,7
0,4,1,0,2,1,10
2,2,3,1,1,4,10.3333333333333
3,1,3,2,0,5,5.66666666666667
3,2,2,2,0,4,7
1,2,0,1,1,1,0
1,1,1,1,0,1,5
0,2,0,0,1,0,0
0,1,1,0,0,1,15
1,1,0,1,1,1,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,1,0,0,1,4
1,1,0,1,1,1,0
0,2,0,0,0,0,0
0,3,0,0,2,0,0
0,1,1,0,0,1,19
1,3,0,1,2,1,0
0,1,0,0,1,0,0
0,1,0,0,1,0,0
0,1,1,0,0,1,12
2,1,2,1,1,3,11
1,4,3,0,3,4,8.66666666666667
6,2,11,0,1,14,8.38461538461539
13,1,16,1,1,24,8.92857142857143
13,1,12,4,1,23,11.6428571428571
14,1,13,3,1,23,10.8181818181818
16,2,17,2,2,26,9.94444444444444
18,0,22,3,0,32,9.54545454545454
18,2,20,6,1,34,12.952380952381
18,3,15,6,1,31,12.6153846153846
18,3,19,7,0,32,10.4
18,4,16,8,3,30,11.4705882352941
16,5,22,8,0,34,17.8636363636364
16,5,11,3,1,29,15.6666666666667
11,9,8,4,0,21,13.625
13,9,8,5,2,18,8.75
7,10,7,4,3,12,15.1428571428571
4,10,8,2,2,13,18.5555555555556
7,11,14,2,2,23,18.6153846153846
12,12,7,2,1,24,12.6666666666667
13,10,12,1,3,23,14.1818181818182
9,13,11,2,3,21,16.5454545454545
12,10,11,3,3,23,16.4545454545455
12,10,10,2,3,21,9.9
13,9,15,5,5,24,14.9285714285714
10,10,8,4,3,19,11
11,9,11,3,1,21,14.7777777777778
10,12,9,2,4,18,11
10,9,13,1,3,21,8.76923076923077
14,5,9,5,2,20,8.5
7,12,10,1,4,16,15.3636363636364
9,12,17,4,5,27,21.5625
8,13,11,3,1,29,27.0909090909091
11,10,6,5,1,26,22
12,8,6,5,3,21,16.8333333333333
12,10,9,3,5,18,11.2
9,13,13,5,6,19,16.1666666666667
7,12,7,3,4,18,21.875
8,13,11,3,6,22,21.9090909090909
8,11,9,3,7,23,18.25
11,13,8,4,5,22,16.1111111111111
11,13,11,5,5,22,14.6
11,12,11,3,4,22,17.8181818181818
11,11,7,4,2,18,16.1111111111111
9,11,14,3,3,22,14.7692307692308
11,8,13,4,2,27,11.2666666666667
19,6,12,3,2,26,9.63636363636364
10,10,9,5,2,16,11.25
9,11,8,4,1,14,9.14285714285714
8,9,8,2,2,13,9.125
7,9,9,1,3,14,14.4444444444444
6,13,7,2,3,14,15.2857142857143
6,15,13,1,1,21,21.5714285714286
10,13,8,3,1,23,17.1428571428571
13,8,7,2,4,20,13.1428571428571
9,10,5,2,3,12,9.66666666666667
6,11,15,2,2,18,14.7142857142857
16,9,14,5,3,26,10.125
13,10,9,1,4,19,13.2857142857143
8,12,7,3,2,13,14.1428571428571
5,13,8,3,2,13,17.3333333333333
9,10,10,1,2,18,14.9
9,12,4,2,3,13,12
9,8,9,2,4,13,8.66666666666667
7,13,11,2,4,15,18.5
6,14,7,0,4,15,16.4285714285714
7,15,2,0,6,11,15
5,13,1,0,4,5,7
0,12,4,0,4,4,11.75
5,10,1,1,2,5,9
1,10,2,1,2,2,11
1,13,0,0,4,1,0
0,14,0,0,1,0,0
2,11,3,2,3,3,6.33333333333333
1,11,1,0,3,2,14
2,9,2,1,1,3,8.5
1,5,0,1,2,1,0
1,1,3,0,1,3,15.3333333333333
1,3,2,1,1,4,15
4,2,2,4,2,5,9.5
1,1,0,1,0,1,0
0,0,1,0,0,1,7
2,0,1,2,0,2,7
0,0,2,0,0,2,13.5
2,0,0,0,0,2,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,1,1,0,0,1,7
1,1,0,1,1,1,0
0,2,0,0,0,0,0
0,1,0,0,1,0,0
0,0,1,0,0,1,4
1,0,0,0,0,1,0
0,3,0,0,3,0,0
0,2,0,0,1,0,0
0,1,0,0,1,0,0
1,2,1,1,1,1,12
0,2,2,0,2,2,7.5
5,1,6,0,1,8,6.85714285714286
12,0,19,1,0,22,8.2
13,1,15,4,1,25,9.92307692307692
14,0,12,2,0,24,9.16666666666667
15,2,18,1,1,28,11.5238095238095
18,0,22,4,0,35,10.55
20,1,19,6,1,36,13.1
16,0,14,8,0,30,12.7692307692308
18,3,15,6,0,29,10.5333333333333
16,4,26,5,1,37,13.8846153846154
18,6,17,10,0,38,19.875
16,5,5,3,2,25,11.2
12,11,10,3,0,19,10.1
10,10,8,4,3,15,14.375
2,12,5,2,4,10,18.8
6,12,9,3,1,17,20.2222222222222
6,13,8,2,1,19,17.5
13,12,14,2,2,27,12.1666666666667
16,8,8,3,2,22,10.75
8,10,11,1,2,17,16.9090909090909
8,14,12,2,4,21,15.3571428571429
15,9,14,2,4,27,12.1666666666667
12,10,8,3,3,20,14
8,12,6,2,5,14,12.8571428571429
11,12,9,4,3,15,8.55555555555556
8,9,10,2,4,14,8
9,9,10,1,2,16,10.5
11,9,14,6,1,21,14.3571428571429
10,10,16,4,4,26,16.5882352941176
13,10,15,6,5,32,20.5
12,11,9,6,4,28,21.8571428571429
12,8,10,4,1,25,20.7272727272727
10,12,6,5,3,19,11
13,13,13,4,2,22,8.85714285714286
11,7,7,5,2,16,8.66666666666667
8,10,7,2,4,12,7
8,13,14,1,4,20,16
10,13,14,5,7,25,23.4
7,14,11,3,4,25,22.2
9,13,9,4,5,27,25.5
15,12,7,2,2,25,21.625
7,14,9,0,4,19,23.6666666666667
6,14,14,3,5,27,20.6428571428571
16,7,11,7,2,33,13.5833333333333
17,6,16,5,1,32,13.7333333333333
14,9,9,6,3,23,14.8
10,11,14,3,6,23,17.0833333333333
9,11,10,1,1,23,15.2727272727273
12,13,8,0,3,22,17.5714285714286
7,14,5,4,1,15,12
11,13,12,3,3,20,12.7857142857143
11,9,10,2,1,19,8.625
11,8,8,2,1,16,10.75
9,10,10,3,1,15,11.4166666666667
7,11,20,2,3,26,16.4210526315789
