"X","航班号","起飞机场","目的机场","rwy","ramp","pb_time","s_dep_time","a_dep_time","所走航路","mission_full_date","time_pushback","time_takeoff_real","dep_taxi","mission_month","mission_date","dep_may_15_per_dep","arr_may_15_per_dep","dep_may_60_per_dep","arr_may_60_per_dep","pb_may_15_per_dep","pb_may_60_per_dep"
87066,"CXA8160","ZBAA","ZSZS","1",14,839,835,848,"LAD8E",20140518,519,528,9,5,18,16,3,75,11,13,64
87067,"CCA1451","ZBAA","ZUMY","36R",3,840,840,848,"SOS8BR",20140518,520,528,8,5,18,16,3,75,11,13,64
87068,"CSN3682","ZBAA","ZUGY","36L",22,837,840,846,"SOS8AL",20140518,517,526,9,5,18,16,3,75,11,13,64
87069,"CHH7277","ZBAA","ZSHC","36R",26,840,835,852,"LAD8AR",20140518,520,532,12,5,18,16,3,75,11,13,64
87070,"CCA901","ZBAA","ZMUB","1",10,841,835,850,"YV8C",20140518,521,530,9,5,18,16,3,75,11,13,64
87071,"CHH7251","ZBAA","ZSWZ","36R",24,838,840,850,"LAD8AR",20140518,518,530,12,5,18,16,3,75,11,13,64
87072,"AMU007","ZBAA","VMMC","36R",12,826,825,843,"REN8BR",20140518,506,523,17,5,18,18,2,75,11,15,64
87073,"CHH7635","ZBAA","ZGHA","36L",26,832,825,836,"REN8AL",20140518,512,516,4,5,18,18,2,75,11,15,64
87074,"CCA1841","ZBAA","ZSYA","1",5,822,825,836,"LAD8E",20140518,502,516,14,5,18,18,2,75,11,15,64
87075,"CCA1369","ZBAA","ZJSY","36L",6,815,815,833,"REN8AL",20140518,495,513,18,5,18,18,2,75,11,15,64
87076,"CCA1293","ZBAA","ZWWW","36R",4,828,830,833,"SOS8BR",20140518,508,513,5,5,18,18,2,75,11,15,64
87077,"CES5717","ZBAA","ZPPP","36R",14,827,830,834,"SOS8BR",20140518,507,514,7,5,18,18,2,75,11,15,64
87078,"CSN317","ZBAA","RKSS","1",20,823,810,841,"LAD8E",20140518,503,521,18,5,18,18,2,75,11,15,64
87079,"CCA1501","ZBAA","ZSSS","36R",4,832,830,841,"LAD8AR",20140518,512,521,9,5,18,18,2,75,11,15,64
87080,"ANA956","ZBAA","RJAA","1",9,825,830,838,"LAD8E",20140518,505,518,13,5,18,18,2,75,11,15,64
87081,"CSN6161","ZBAA","ZUUU","36R",15,831,815,839,"SOS8BR",20140518,511,519,8,5,18,18,2,75,11,15,64
87082,"CHH7165","ZBAA","ZPPP","36L",25,835,820,841,"SOS8AL",20140518,515,521,6,5,18,18,2,75,11,15,64
87083,"CCA1805","ZBAA","ZSGS","1",1,816,815,829,"LAD8E",20140518,496,509,13,5,18,19,5,75,11,18,64
87084,"CRK305","ZBAA","VHHH","36L",29,811,750,821,"REN8AL",20140518,491,501,10,5,18,19,5,75,11,18,64
87085,"CBJ5181","ZBAA","ZPLJ","36R",27,807,805,826,"SOS8BR",20140518,487,506,19,5,18,19,5,75,11,18,64
