"","X.1","X","航班号","起飞机场","目的机场","rwy","ramp","pb_time","s_dep_time","a_dep_time","mission_full_date","time_pushback","time_takeoff_real","dep_taxi","mission_month","mission_date","dep_window_per15","dep_window_per60","dep_36r_in_cluster","dep_36r_per_dep","arr_36r_per_dep"
"6079",6079,6079,"KAL830","ZBAA","RKPK","36R","215",950,950,1023,20140211,590,623,"33",2,11,1002,251,1,15,14
"6080",6080,6080,"CCA1415","ZBAA","ZUUU","36R","326",956,955,1022,20140211,596,622,"26",2,11,1002,251,1,15,14
"6081",6081,6081,"CPA347","ZBAA","VHHH","36R","508",1002,1000,1025,20140211,602,625,"23",2,11,1002,251,1,15,14
"6082",6082,6082,"AFR129","ZBAA","LFPG","36R","214",1000,1005,1027,20140211,600,627,"27",2,11,1002,251,1,15,14
"6085",6085,6085,"CHH7191","ZBAA","ZSAM","36R","N107",940,935,1011,20140211,580,611,"31",2,11,1001,251,1,15,14
"6088",6088,6088,"CNM1121","ZBAA","ZBOW","36R","412",953,955,1014,20140211,593,614,"21",2,11,1001,251,1,15,14
"6089",6089,6089,"CCA1487","ZBAA","ZUDX","36R","352",1005,910,1020,20140211,605,620,"15",2,11,1002,251,1,15,14
"6090",6090,6090,"CES277","ZBAA","ZSYT","36R","804",946,940,1018,20140211,586,618,"32",2,11,1002,251,1,15,14
"6093",6093,6093,"CCA1429","ZBAA","ZUCK","36R","408",943,930,959,20140211,583,599,"16",2,11,1000,250,1,22,9
"6097",6097,6097,"CCA9619","ZBAA","ZJSY","36R","301",940,930,1005,20140211,580,605,"25",2,11,1001,251,1,15,14
"6100",6100,6100,"CSN3000","ZBAA","ZGGG","36R","217",937,930,945,20140211,577,585,"8",2,11,1000,250,1,22,9
"6106",6106,6106,"CCA1901","ZBAA","ZWWW","36R","334",929,930,942,20140211,569,582,"13",2,11,999,250,1,22,9
"6109",6109,6109,"B95959","ZBAA","RCSS","36R","627",906,900,937,20140211,546,577,"31",2,11,999,250,1,22,9
"6110",6110,6110,"CCA1239","ZBAA","ZLLL","36R","328",919,915,939,20140211,559,579,"20",2,11,999,250,1,22,9
"6111",6111,6111,"CHH7765","ZBAA","ZYCC","36R","N101",924,925,940,20140211,564,580,"16",2,11,999,250,1,22,9
"6116",6116,6116,"CCA111","ZBAA","VHHH","36R","511",931,930,943,20140211,571,583,"12",2,11,999,250,1,22,9
"6118",6118,6118,"CHH7605","ZBAA","ZSSS","36R","N108",857,845,932,20140211,537,572,"35",2,11,999,250,1,22,9
"6119",6119,6119,"CSC8530","ZBAA","ZUUU","36R","319",907,900,930,20140211,547,570,"23",2,11,999,250,1,22,9
"6123",6123,6123,"CDG1195","ZBAA","ZLIC","36R","317",911,910,936,20140211,551,576,"25",2,11,999,250,1,22,9
"6124",6124,6124,"CXA8160","ZBAA","ZSZS","36R","605",906,855,934,20140211,546,574,"28",2,11,999,250,1,22,9
"6126",6126,6126,"CCA4112","ZBAA","ZUUU","36R","329",854,900,917,20140211,534,557,"23",2,11,998,250,1,22,9
"6128",6128,6128,"CSN6267","ZBAA","ZYHB","36R","233",856,855,920,20140211,536,560,"24",2,11,998,250,1,22,9
"6129",6129,6129,"CCA905","ZBAA","ZPPP","36R","554",854,805,919,20140211,534,559,"25",2,11,998,250,1,22,9
"6132",6132,6132,"CES5104","ZBAA","ZSSS","36R","223",859,900,924,20140211,539,564,"25",2,11,998,250,1,22,9
"6133",6133,6133,"CCA1321","ZBAA","ZGGG","36R","308",900,900,922,20140211,540,562,"22",2,11,998,250,1,22,9
"6135",6135,6135,"CCA1289","ZBAA","ZLXY","36R","322",900,855,927,20140211,540,567,"27",2,11,998,250,1,22,9
"6136",6136,6136,"CHH7277","ZBAA","ZSHC","36R","612",856,835,915,20140211,536,555,"19",2,11,998,250,1,22,9
"6137",6137,6137,"CSC8838","ZBAA","ZUWX","36R","320",852,845,906,20140211,532,546,"14",2,11,997,250,1,22,9
"6141",6141,6141,"CSN6904","ZBAA","ZWWW","36R","608",850,840,911,20140211,530,551,"21",2,11,997,250,1,22,9
"6146",6146,6146,"DAL618","ZBAA","RJAA","36R","213",846,855,913,20140211,526,553,"27",2,11,997,250,1,22,9
"6153",6153,6153,"CES5164","ZBAA","ZSHC","36R","222",846,850,901,20140211,526,541,"15",2,11,997,250,1,22,9
"6159",6159,6159,"CCA1293","ZBAA","ZWWW","36R","333",835,830,847,20140211,515,527,"12",2,11,996,249,1,26,2
"6161",6161,6161,"CCA1451","ZBAA","ZUMY","36R","330",841,840,849,20140211,521,529,"8",2,11,996,249,1,26,2
"6162",6162,6162,"GDC7127","ZBAA","ZYHB","36R","W110",830,815,846,20140211,510,526,"16",2,11,996,249,1,26,2
"6167",6167,6167,"CES535","ZBAA","ZSQD","36R","812",843,845,853,20140211,523,533,"10",2,11,996,249,1,26,2
"6171",6171,6171,"CES2883","ZBAA","ZBTL","36R","810",826,810,840,20140211,506,520,"14",2,11,995,249,1,26,2
"6173",6173,6173,"CES2467","ZBAA","ZYHB","36R","228",824,820,839,20140211,504,519,"15",2,11,995,249,1,26,2
"6174",6174,6174,"CES2035","ZBAA","ZPPP","36R","803",829,825,844,20140211,509,524,"15",2,11,995,249,1,26,2
"6176",6176,6176,"CCA1431","ZBAA","ZUCK","36R","332",822,830,842,20140211,502,522,"20",2,11,995,249,1,26,2
"6180",6180,6180,"CCA1309","ZBAA","ZGGG","36R","307",2006,1815,2013,20140210,1206,1213,"7",2,10,945,237,1,19,11
"6181",6181,6181,"CCA1295","ZBAA","ZWWW","36R","334",2013,2000,2017,20140210,1213,1217,"4",2,10,946,237,1,19,11
"6183",6183,6183,"CES5172","ZBAA","ZSOF","36R","236",2006,2010,2016,20140210,1206,1216,"10",2,10,946,237,1,19,11
"6185",6185,6185,"CCA179","ZBAA","RPLL","36R","456",2011,2000,2021,20140210,1211,1221,"10",2,10,946,237,1,19,11
"6190",6190,6190,"CCA4106","ZBAA","ZUUU","36R","331",2000,2000,2004,20140210,1200,1204,"4",2,10,945,237,1,19,11
"6194",6194,6194,"CNM1101","ZBAA","ZBHH","36R","322",2005,2005,2009,20140210,1205,1209,"4",2,10,945,237,1,19,11
"6195",6195,6195,"CCA979","ZBAA","VTBS","36R","521",2002,1945,2011,20140210,1202,1211,"9",2,10,945,237,1,19,11
"6197",6197,6197,"HDA903","ZBAA","VHHH","36R","531",1930,1930,1950,20140210,1170,1190,"20",2,10,944,236,1,28,7
"6198",6198,6198,"CCA1217","ZBAA","ZLIC","36R","327",1947,1950,1955,20140210,1187,1195,"8",2,10,944,236,1,28,7
"6199",6199,6199,"CCA1341","ZBAA","ZHHH","36R","409",1935,1935,1952,20140210,1175,1192,"17",2,10,944,236,1,28,7
"6201",6201,6201,"CES5159","ZBAA","ZSLG","36R","229",1937,1940,1953,20140210,1177,1193,"16",2,10,944,236,1,28,7
"6202",6202,6202,"CES5124","ZBAA","ZSSS","36R","223",1945,1900,1956,20140210,1185,1196,"11",2,10,944,236,1,28,7
"6203",6203,6203,"CCA4120","ZBAA","ZUUU","36R","410",1953,1930,1959,20140210,1193,1199,"6",2,10,944,236,1,28,7
"6206",6206,6206,"CCA1145","ZBAA","ZBYN","36R","323",1924,1930,1936,20140210,1164,1176,"12",2,10,943,236,1,28,7
"6208",6208,6208,"GDC7101","ZBAA","ZBLA","36R","108",1917,1910,1940,20140210,1157,1180,"23",2,10,943,236,1,28,7
"6210",6210,6210,"CCA4136","ZBAA","ZUCK","36R","330",1926,1930,1942,20140210,1166,1182,"16",2,10,943,236,1,28,7
"6211",6211,6211,"CCA1105","ZBAA","ZBHH","36R","403",1922,1920,1945,20140210,1162,1185,"23",2,10,944,236,1,28,7
"6212",6212,6212,"CCA821","ZBAA","VTSP","36R","534",1927,1935,1947,20140210,1167,1187,"20",2,10,944,236,1,28,7
"6214",6214,6214,"CXA8120","ZBAA","ZSFZ","36R","232",1926,1935,1948,20140210,1166,1188,"22",2,10,944,236,1,28,7
"6217",6217,6217,"CES5130","ZBAA","ZSPD","36R","237",1905,1905,1931,20140210,1145,1171,"26",2,10,943,236,1,28,7
"6219",6219,6219,"CSZ9832","ZBAA","ZGSZ","36R","321",1909,1915,1933,20140210,1149,1173,"24",2,10,943,236,1,28,7
"6221",6221,6221,"CSN6163","ZBAA","ZSHC","36R","802",1916,1910,1935,20140210,1156,1175,"19",2,10,943,236,1,28,7
"6222",6222,6222,"CSN6216","ZBAA","ZYDQ","36R","230",1910,1910,1932,20140210,1150,1172,"22",2,10,943,236,1,28,7
"6224",6224,6224,"CSC8894","ZBAA","ZUUU","36R","337",1922,1920,1938,20140210,1162,1178,"16",2,10,943,236,1,28,7
"6227",6227,6227,"CES5188","ZBAA","ZSCN","36R","803",1845,1755,1922,20140210,1125,1162,"37",2,10,942,236,1,28,7
"6228",6228,6228,"CCA4110","ZBAA","ZUUU","36R","335",1900,1900,1928,20140210,1140,1168,"28",2,10,942,236,1,28,7
"6230",6230,6230,"CCA1139","ZBAA","ZBYC","36R","325",1857,1905,1925,20140210,1137,1165,"28",2,10,942,236,1,28,7
"6232",6232,6232,"CCA1305","ZBAA","ZGSZ","36R","336",1854,1830,1926,20140210,1134,1166,"32",2,10,942,236,1,28,7
"6236",6236,6236,"CXA8106","ZBAA","ZSAM","36R","814",1834,1825,1913,20140210,1114,1153,"39",2,10,941,236,1,28,7
"6237",6237,6237,"CCA4198","ZBAA","ZUUU","36R","413",1843,1845,1919,20140210,1123,1159,"36",2,10,942,236,1,28,7
"6238",6238,6238,"HDA993","ZBAA","VHHH","36R","525",1837,1830,1916,20140210,1117,1156,"39",2,10,942,236,1,28,7
"6239",6239,6239,"CCA825","ZBAA","VDSR","36R","533",1846,1845,1923,20140210,1126,1163,"37",2,10,942,236,1,28,7
"6240",6240,6240,"N605PS","ZBAA","RJTT","36R","605",1849,1900,1920,20140210,1129,1160,"31",2,10,942,236,1,28,7
"6243",6243,6243,"CES2992","ZBAA","ZSWX","36R","235",1828,1835,1903,20140210,1108,1143,"35",2,10,941,236,1,28,7
"6245",6245,6245,"KAL850","ZBAA","RKPK","36R","215",1838,1840,1909,20140210,1118,1149,"31",2,10,941,236,1,28,7
"6249",6249,6249,"CES5122","ZBAA","ZSSS","36R","219",1832,1800,1851,20140210,1112,1131,"19",2,10,940,235,0,14,17
"6252",6252,6252,"CXA8122","ZBAA","ZSWY","36R","232",1828,1810,1854,20140210,1108,1134,"26",2,10,940,235,0,14,17
"6253",6253,6253,"CCA107","ZBAA","VHHH","36R","453",1836,1830,1858,20140210,1116,1138,"22",2,10,940,235,0,14,17
"6256",6256,6256,"CCA1455","ZBAA","ZUMY","36R","328",1814,1810,1838,20140210,1094,1118,"24",2,10,939,235,0,14,17
"6258",6258,6258,"CCA1891","ZBAA","ZJSY","36R","303",1808,1810,1842,20140210,1088,1122,"34",2,10,939,235,0,14,17
"6261",6261,6261,"CCA4144","ZBAA","ZUCK","36R","319",1829,1830,1846,20140210,1109,1126,"17",2,10,940,235,0,14,17
"6264",6264,6264,"CSZ9592","ZBAA","ZGNN","36R","320",1808,1345,1829,20140210,1088,1109,"21",2,10,938,235,0,14,17
"6267",6267,6267,"CCA4104","ZBAA","ZUUU","36R","329",1808,1800,1832,20140210,1088,1112,"24",2,10,939,235,0,14,17
"6269",6269,6269,"CES563","ZBAA","ZSPD","36R","805",1800,1620,1826,20140210,1080,1106,"26",2,10,938,235,0,14,17
"6273",6273,6273,"CXA8172","ZBAA","ZSFZ","36R","238",1755,1740,1822,20140210,1075,1102,"27",2,10,938,235,0,14,17
"6277",6277,6277,"CSN6218","ZBAA","ZYHB","36R","224",1739,1700,1809,20140210,1059,1089,"30",2,10,937,235,0,14,17
"6280",6280,6280,"AMU001","ZBAA","VMMC","36R","522",1749,1610,1814,20140210,1069,1094,"25",2,10,937,235,0,14,17
"6284",6284,6284,"CCA1363","ZBAA","ZGHA","36R","327",1741,1740,1803,20140210,1061,1083,"22",2,10,937,235,0,14,17
"6285",6285,6285,"CCA117","ZBAA","VHHH","36R","502",1735,1730,1800,20140210,1055,1080,"25",2,10,937,235,0,14,17
"6290",6290,6290,"FDX92","ZBAA","RKSI","36R","N107",1719,1715,1742,20140210,1039,1062,"23",2,10,935,234,1,20,10
"6291",6291,6291,"CCA1359","ZBAA","ZGDY","36R","323",1735,1740,1746,20140210,1055,1066,"11",2,10,936,234,1,20,10
"6292",6292,6292,"DAL188","ZBAA","KDTW","36R","217",1735,1750,1747,20140210,1055,1067,"12",2,10,936,234,1,20,10
"6293",6293,6293,"CCA1263","ZBAA","ZLIC","36R","321",1730,1730,1744,20140210,1050,1064,"14",2,10,935,234,1,20,10
"6300",6300,6300,"CCA1235","ZBAA","ZLXY","36R","414",1721,1725,1732,20140210,1041,1052,"11",2,10,935,234,1,20,10
"6301",6301,6301,"CBJ5375","ZBAA","ZSAM","36R","116",1718,1010,1734,20140210,1038,1054,"16",2,10,935,234,1,20,10
"6303",6303,6303,"CES5458","ZBAA","ZSHC","36R","231",1723,1710,1740,20140210,1043,1060,"17",2,10,935,234,1,20,10
"6305",6305,6305,"CCA8205","ZBAA","ZHHH","36R","410",1726,1725,1738,20140210,1046,1058,"12",2,10,935,234,1,20,10
"6308",6308,6308,"CCA1823","ZBAA","ZHYC","36R","402",1707,1705,1726,20140210,1027,1046,"19",2,10,934,234,1,20,10
"6311",6311,6311,"CCA1123","ZBAA","ZBTL","36R","324",1708,1715,1727,20140210,1028,1047,"19",2,10,934,234,1,20,10
"6313",6313,6313,"CCA4142","ZBAA","ZUCK","36R","332",1722,1730,1730,20140210,1042,1050,"8",2,10,935,234,1,20,10
"6314",6314,6314,"CSN3862","ZBAA","ZGOW","36R","226",1713,1710,1729,20140210,1033,1049,"16",2,10,934,234,1,20,10
"6317",6317,6317,"CXA8114","ZBAA","ZSQZ","36R","236",1700,1605,1725,20140210,1020,1045,"25",2,10,934,234,1,20,10
"6318",6318,6318,"CCA1425","ZBAA","ZUUU","36R","330",1653,1700,1715,20140210,1013,1035,"22",2,10,934,234,1,20,10
"6323",6323,6323,"CXA8108","ZBAA","ZSFZ","36R","235",1654,1600,1717,20140210,1014,1037,"23",2,10,934,234,1,20,10
"6324",6324,6324,"THA615","ZBAA","VTBS","36R","509",1655,1705,1723,20140210,1015,1043,"28",2,10,934,234,1,20,10
"6326",6326,6326,"HDA909","ZBAA","VHHH","36R","521",1634,1630,1706,20140210,994,1026,"32",2,10,933,234,1,20,10
"6328",6328,6328,"CSZ9802","ZBAA","ZGSZ","36R","325",1635,1635,1708,20140210,995,1028,"33",2,10,933,234,1,20,10
"6329",6329,6329,"SIA807","ZBAA","WSSS","36R","511",1644,1640,1710,20140210,1004,1030,"26",2,10,933,234,1,20,10
"6337",6337,6337,"CSN6204","ZBAA","ZYHB","36R","230",1636,1640,1702,20140210,996,1022,"26",2,10,933,234,1,20,10
"6342",6342,6342,"CCA1473","ZBAA","ZGSD","36R","312",1627,1625,1651,20140210,987,1011,"24",2,10,932,233,1,19,12
"6347",6347,6347,"CCA941","ZBAA","OMDB","36R","455",1627,1615,1647,20140210,987,1007,"20",2,10,932,233,1,19,12
"6350",6350,6350,"CCA823","ZBAA","VTCC","36R","505",1621,1615,1636,20140210,981,996,"15",2,10,931,233,1,19,12
"6354",6354,6354,"CCA1435","ZBAA","ZUCK","36R","333",1623,1630,1643,20140210,983,1003,"20",2,10,931,233,1,19,12
"6356",6356,6356,"CHH495","ZBAA","KSEA","36R","210",1623,1620,1645,20140210,983,1005,"22",2,10,932,233,1,19,12
"6357",6357,6357,"CSC8832","ZBAA","ZUCK","36R","337",1613,1620,1633,20140210,973,993,"20",2,10,931,233,1,19,12
"6358",6358,6358,"CCA115","ZBAA","VHHH","36R","453",1609,1530,1625,20140210,969,985,"16",2,10,930,233,1,19,12
"6360",6360,6360,"CES2070","ZBAA","ZYCC","36R","238",1552,1555,1629,20140210,952,989,"37",2,10,930,233,1,19,12
"6361",6361,6361,"CES5118","ZBAA","ZSSS","36R","809",1602,1600,1631,20140210,962,991,"29",2,10,931,233,1,19,12
"6363",6363,6363,"CCA1465","ZBAA","ZGNN","36R","334",1614,1610,1630,20140210,974,990,"16",2,10,931,233,1,19,12
"6365",6365,6365,"CSN377","ZBAA","ZSAM","36R","801",1611,1610,1635,20140210,971,995,"24",2,10,931,233,1,19,12
"6366",6366,6366,"CCA1221","ZBAA","ZLLL","36R","322",1551,1545,1615,20140210,951,975,"24",2,10,930,233,1,19,12
"6367",6367,6367,"CES727","ZBAA","ZSNJ","36R","810",1548,1550,1619,20140210,948,979,"31",2,10,930,233,1,19,12
"6371",6371,6371,"CCA1407","ZBAA","ZUUU","36R","335",1554,1600,1621,20140210,954,981,"27",2,10,930,233,1,19,12
"6373",6373,6373,"CSN6122","ZBAA","ZYTL","36R","234",1554,1555,1627,20140210,954,987,"33",2,10,930,233,1,19,12
"6375",6375,6375,"CSN6108","ZBAA","ZYTX","36R","222",1550,1600,1606,20140210,950,966,"16",2,10,929,233,1,19,12
"6376",6376,6376,"CXA8102","ZBAA","ZSAM","36R","227",1552,1500,1607,20140210,952,967,"15",2,10,929,233,1,19,12
"6378",6378,6378,"CAO1048","ZBAA","ZSPD","36R","N103",1547,1540,1611,20140210,947,971,"24",2,10,929,233,1,19,12
"6380",6380,6380,"CCA8215","ZBAA","ZHHH","36R","410",1535,1525,1557,20140210,935,957,"22",2,10,928,232,1,16,14
"6382",6382,6382,"CCA1357","ZBAA","ZGSZ","36R","324",1536,1535,1556,20140210,936,956,"20",2,10,928,232,1,16,14
"6383",6383,6383,"GDC7149","ZBAA","ZYHB","36R","115",1542,1540,1559,20140210,942,959,"17",2,10,928,232,1,16,14
"6385",6385,6385,"CCA1291","ZBAA","ZWWW","36R","332",1549,1545,1602,20140210,949,962,"13",2,10,929,233,1,19,12
"6388",6388,6388,"CSN6194","ZBAA","ZYCC","36R","723",1523,1520,1546,20140210,923,946,"23",2,10,928,232,1,16,14
"6391",6391,6391,"CCA969","ZBAA","WSSS","36R","555",1530,1525,1551,20140210,930,951,"21",2,10,928,232,1,16,14
"6392",6392,6392,"CSN3104","ZBAA","ZGGG","36R","221",1532,1530,1549,20140210,932,949,"17",2,10,928,232,1,16,14
"6394",6394,6394,"CSC8886","ZBAA","ZUUU","36R","321",1526,1520,1534,20140210,926,934,"8",2,10,927,232,1,16,14
"6398",6398,6398,"CES7388","ZBAA","ZSCN","36R","226",1517,1130,1536,20140210,917,936,"19",2,10,927,232,1,16,14
"6401",6401,6401,"CCA945","ZBAA","ZUUU","36R","353",1503,1500,1519,20140210,903,919,"16",2,10,926,232,1,16,14
"6402",6402,6402,"CCA4116","ZBAA","ZUUU","36R","408",1504,1500,1521,20140210,904,921,"17",2,10,926,232,1,16,14
"6404",6404,6404,"CCA1301","ZBAA","ZGGG","36R","513",1506,1500,1524,20140210,906,924,"18",2,10,926,232,1,16,14
"6405",6405,6405,"CCA1225","ZBAA","ZLXY","36R","328",1521,1525,1527,20140210,921,927,"6",2,10,926,232,1,16,14
"6409",6409,6409,"CCA1345","ZBAA","ZJSY","36R","509",1457,1450,1508,20140210,897,908,"11",2,10,925,232,1,16,14
"6410",6410,6410,"CCA1201","ZBAA","ZLXY","36R","333",1502,1420,1512,20140210,902,912,"10",2,10,925,232,1,16,14
"6413",6413,6413,"CES5116","ZBAA","ZSSS","36R","224",1507,1500,1516,20140210,907,916,"9",2,10,926,232,1,16,14
"6415",6415,6415,"CCA4170","ZBAA","ZPPP","36R","330",1454,1455,1500,20140210,894,900,"6",2,10,925,232,1,16,14
"6416",6416,6416,"CCA1411","ZBAA","ZUCK","36R","535",1447,1430,1453,20140210,887,893,"6",2,10,924,231,1,23,7
"6421",6421,6421,"CHH7391","ZBAA","ZSAM","36R","114",1437,1440,1457,20140210,877,897,"20",2,10,924,231,1,23,7
"6425",6425,6425,"CNM1115","ZBAA","ZBHH","36R","325",1433,1435,1447,20140210,873,887,"14",2,10,924,231,1,23,7
"6426",6426,6426,"CSN6572","ZBAA","ZGOW","36R","213",1433,1430,1448,20140210,873,888,"15",2,10,924,231,1,23,7
"6427",6427,6427,"CCA1463","ZBAA","ZUGY","36R","412",1447,1445,1451,20140210,887,891,"4",2,10,924,231,1,23,7
"6430",6430,6430,"CCA1375","ZBAA","ZGNN","36R","329",1430,1325,1443,20140210,870,883,"13",2,10,923,231,1,23,7
"6431",6431,6431,"CSZ9852","ZBAA","ZGSZ","36R","326",1410,1405,1431,20140210,850,871,"21",2,10,923,231,1,23,7
"6432",6432,6432,"CES7025","ZBAA","RKPC","36R","802",1418,1340,1432,20140210,858,872,"14",2,10,923,231,1,23,7
"6434",6434,6434,"CCA1355","ZBAA","ZJHK","36R","308",1417,1410,1434,20140210,857,874,"17",2,10,923,231,1,23,7
"6435",6435,6435,"CES271","ZBAA","ZSPD","36R","804",1427,1355,1440,20140210,867,880,"13",2,10,923,231,1,23,7
"6439",6439,6439,"CCA9551","ZBAA","ZBYC","36R","402",1430,1430,1442,20140210,870,882,"12",2,10,923,231,1,23,7
"6441",6441,6441,"CES5661","ZBAA","ZYHB","36R","227",1401,1405,1420,20140210,841,860,"19",2,10,922,231,1,23,7
"6442",6442,6442,"CXA8166","ZBAA","ZSFZ","36R","239",1404,1350,1424,20140210,844,864,"20",2,10,922,231,1,23,7
"6443",6443,6443,"CCA1327","ZBAA","ZGGG","36R","511",1407,1400,1427,20140210,847,867,"20",2,10,922,231,1,23,7
"6445",6445,6445,"CCA422","ZBAA","ZUUU","36R","533",1406,1300,1425,20140210,846,865,"19",2,10,922,231,1,23,7
"6447",6447,6447,"KAL856","ZBAA","RKSI","36R","208",1408,1400,1429,20140210,848,869,"21",2,10,922,231,1,23,7
"6448",6448,6448,"CCA931","ZBAA","EDDF","36R","531",1356,1355,1422,20140210,836,862,"26",2,10,922,231,1,23,7
"6454",6454,6454,"CES5114","ZBAA","ZSSS","36R","224",1356,1400,1412,20140210,836,852,"16",2,10,921,231,1,23,7
"6456",6456,6456,"CCA4108","ZBAA","ZUUU","36R","331",1356,1400,1410,20140210,836,850,"14",2,10,921,231,1,23,7
"6458",6458,6458,"CCA911","ZBAA","ESSA","36R","526",1351,1350,1405,20140210,831,845,"14",2,10,921,231,1,23,7
"6459",6459,6459,"GCR6574","ZBAA","ZSAQ","36R","W201",1340,1340,1407,20140210,820,847,"27",2,10,921,231,1,23,7
"6462",6462,6462,"CCA1471","ZBAA","ZGKL","36R","351",1356,1350,1408,20140210,836,848,"12",2,10,921,231,1,23,7
"6466",6466,6466,"CCA1303","ZBAA","ZGSZ","36R","335",1341,1330,1353,20140210,821,833,"12",2,10,920,230,1,24,9
"6469",6469,6469,"CSH9152","ZBAA","ZSHC","36R","234",1342,1345,1359,20140210,822,839,"17",2,10,920,230,1,24,9
"6471",6471,6471,"CCA1873","ZBAA","ZHHH","36R","311",1339,1335,1401,20140210,819,841,"22",2,10,921,231,1,23,7
"6474",6474,6474,"CCA981","ZBAA","KJFK","36R","528",1333,1300,1347,20140210,813,827,"14",2,10,920,230,1,24,9
"6476",6476,6476,"AFL205","ZBAA","UUEE","36R","210",1329,1335,1349,20140210,809,829,"20",2,10,920,230,1,24,9
"6477",6477,6477,"CCA959","ZBAA","VTBS","36R","525",1339,1340,1351,20140210,819,831,"12",2,10,920,230,1,24,9
"6480",6480,6480,"CCA1457","ZBAA","ZUGU","36R","327",1324,1325,1334,20140210,804,814,"10",2,10,919,230,1,24,9
"6481",6481,6481,"CPA391","ZBAA","VHHH","36R","514",1326,1330,1335,20140210,806,815,"9",2,10,919,230,1,24,9
"6485",6485,6485,"CCA1439","ZBAA","ZUCK","36R","332",1325,1330,1338,20140210,805,818,"13",2,10,919,230,1,24,9
"6488",6488,6488,"CSC8884","ZBAA","ZUUU","36R","337",1317,1320,1330,20140210,797,810,"13",2,10,919,230,1,24,9
"6489",6489,6489,"CCA1219","ZBAA","ZLIC","36R","321",1325,1325,1341,20140210,805,821,"16",2,10,919,230,1,24,9
"6490",6490,6490,"CBJ5357","ZBAA","ZBER","36R","116",1256,1240,1320,20140210,776,800,"24",2,10,918,230,1,24,9
"6492",6492,6492,"CES5112","ZBAA","ZSSS","36R","224",1304,1255,1321,20140210,784,801,"17",2,10,918,230,1,24,9
"6493",6493,6493,"CCA109","ZBAA","VHHH","36R","512",1300,1300,1323,20140210,780,803,"23",2,10,918,230,1,24,9
"6496",6496,6496,"CCA1325","ZBAA","ZHCC","36R","452",1309,1255,1327,20140210,789,807,"18",2,10,918,230,1,24,9
"6497",6497,6497,"CHH7621","ZBAA","ZYJM","36R","111",1302,1255,1326,20140210,782,806,"24",2,10,918,230,1,24,9
"6500",6500,6500,"CCA1377","ZBAA","ZJSY","36R","507",1317,1250,1332,20140210,797,812,"15",2,10,919,230,1,24,9
"6501",6501,6501,"CXA8128","ZBAA","ZSAM","36R","232",1314,1310,1328,20140210,794,808,"14",2,10,918,230,1,24,9
"6504",6504,6504,"CCA1393","ZBAA","ZJHK","36R","336",1248,1245,1315,20140210,768,795,"27",2,10,918,230,1,24,9
"6505",6505,6505,"HDA901","ZBAA","VHHH","36R","521",1236,1230,1313,20140210,756,793,"37",2,10,917,230,1,24,9
"6506",6506,6506,"CSZ9960","ZBAA","ZGSZ","36R","454",1248,1210,1318,20140210,768,798,"30",2,10,918,230,1,24,9
"6508",6508,6508,"CSN6130","ZBAA","ZYTL","36R","236",1243,1250,1317,20140210,763,797,"34",2,10,918,230,1,24,9
"6510",6510,6510,"CCA1373","ZBAA","ZGHA","36R","325",1239,1235,1308,20140210,759,788,"29",2,10,917,230,1,24,9
"6514",6514,6514,"CCA1297","ZBAA","ZWWW","36R","334",1239,1245,1304,20140210,759,784,"25",2,10,917,230,1,24,9
"6519",6519,6519,"KOR152","ZBAA","ZKPY","36R","702",1244,320,1309,20140210,764,789,"25",2,10,917,230,1,24,9
"6523",6523,6523,"CCA1451","ZBAA","ZUMY","36R","451",1235,840,1256,20140210,755,776,"21",2,10,916,229,1,27,6
"6527",6527,6527,"CCA1271","ZBAA","ZLLL","36R","322",1239,1230,1258,20140210,759,778,"19",2,10,916,229,1,27,6
"6528",6528,6528,"CSN6265","ZBAA","ZYDQ","36R","707",1241,1235,1253,20140210,761,773,"12",2,10,916,229,1,27,6
"6529",6529,6529,"CHH7251","ZBAA","ZSWZ","36R","113",1206,1205,1246,20140210,726,766,"40",2,10,916,229,1,27,6
"6530",6530,6530,"CCA1485","ZBAA","ZGNN","36R","324",1225,1135,1244,20140210,745,764,"19",2,10,915,229,1,27,6
"6531",6531,6531,"CCA4172","ZBAA","ZPPP","36R","333",1231,1210,1250,20140210,751,770,"19",2,10,916,229,1,27,6
"6534",6534,6534,"CCA4138","ZBAA","ZUCK","36R","319",1233,1230,1251,20140210,753,771,"18",2,10,916,229,1,27,6
"6537",6537,6537,"CCA4162","ZBAA","ZUGY","36R","409",1221,1150,1237,20140210,741,757,"16",2,10,915,229,1,27,6
"6540",6540,6540,"CES5174","ZBAA","ZSCN","36R","220",1158,1120,1239,20140210,718,759,"41",2,10,915,229,1,27,6
"6541",6541,6541,"KLM898","ZBAA","EHAM","36R","208",1201,1155,1241,20140210,721,761,"40",2,10,915,229,1,27,6
"6545",6545,6545,"CES5110","ZBAA","ZSSS","36R","219",1221,1155,1248,20140210,741,768,"27",2,10,916,229,1,27,6
"6546",6546,6546,"CCA4114","ZBAA","ZUUU","36R","331",1204,1200,1233,20140210,724,753,"29",2,10,915,229,1,27,6
"6547",6547,6547,"DAL128","ZBAA","KSEA","36R","218",1150,1155,1226,20140210,710,746,"36",2,10,914,229,1,27,6
"6549",6549,6549,"CES2449","ZBAA","ZYTL","36R","233",1141,1140,1225,20140210,701,745,"44",2,10,914,229,1,27,6
