"","arr_window","arr_date","arr_hour"
"1",35,"02",11
"2",35,"02",11
"3",35,"02",11
"4",35,"02",11
"5",35,"02",11
"6",35,"02",11
"7",35,"02",11
"8",35,"02",11
"9",34,"02",10
"10",34,"02",10
"11",34,"02",10
"12",34,"02",10
"13",35,"02",11
"14",34,"02",10
"15",35,"02",11
"16",35,"02",11
"17",35,"02",11
"18",35,"02",11
"19",35,"02",11
"20",34,"02",10
"21",34,"02",10
"22",34,"02",10
"23",34,"02",10
"24",34,"02",10
"25",34,"02",10
"26",35,"02",11
"27",35,"02",11
"28",35,"02",11
"29",35,"02",11
"30",35,"02",11
"31",35,"02",11
"32",35,"02",11
"33",35,"02",11
"34",35,"02",11
"35",35,"02",11
"36",35,"02",11
"37",35,"02",11
"38",35,"02",11
"39",35,"02",11
"40",34,"02",10
"41",35,"02",11
"42",35,"02",11
"43",34,"02",10
"44",35,"02",11
"45",34,"02",10
"46",35,"02",11
"47",34,"02",10
"48",34,"02",10
"49",34,"02",10
"50",34,"02",10
"51",34,"02",10
"52",34,"02",10
"53",34,"02",10
"54",34,"02",10
"55",34,"02",10
"56",34,"02",10
"57",34,"02",10
"58",34,"02",10
"59",34,"02",10
"60",34,"02",10
"61",34,"02",10
"62",34,"02",10
"63",34,"02",10
"64",34,"02",10
"65",34,"02",10
"66",34,"02",10
"67",34,"02",10
"68",34,"02",10
"69",34,"02",10
"70",34,"02",10
"71",34,"02",10
"72",34,"02",10
"73",34,"02",10
"74",34,"02",10
"75",34,"02",10
"76",34,"02",10
"77",34,"02",10
"78",34,"02",10
"79",33,"02",9
"80",33,"02",9
"81",33,"02",9
"82",33,"02",9
"83",33,"02",9
"84",33,"02",9
"85",33,"02",9
"86",33,"02",9
"87",33,"02",9
"88",33,"02",9
"89",33,"02",9
"90",34,"02",10
"91",34,"02",10
"92",34,"02",10
"93",34,"02",10
"94",35,"02",11
"95",34,"02",10
"96",34,"02",10
"97",34,"02",10
"98",34,"02",10
"99",34,"02",10
"100",34,"02",10
"101",34,"02",10
"102",34,"02",10
"103",34,"02",10
"104",34,"02",10
"105",34,"02",10
"106",34,"02",10
"107",34,"02",10
