"dep36l","dep36r","dep01","arr36l","arr36r","arr01"
1,1,6,17,18,0
3,5,0,2,8,0
2,4,0,1,1,0
0,3,0,0,2,0
1,2,0,4,5,0
0,4,0,1,7,0
5,8,5,0,7,0
11,34,16,2,0,3
15,35,17,5,0,7
17,26,16,15,6,13
7,19,4,18,11,22
9,19,12,12,11,17
12,29,12,19,5,21
12,22,11,10,10,18
6,28,8,20,5,21
8,23,12,22,6,21
8,21,13,21,7,22
10,28,13,16,5,19
6,19,10,23,8,24
11,29,8,16,3,19
11,23,14,18,6,18
11,14,4,11,7,16
3,12,4,18,12,20
0,2,6,19,16,8
2,2,5,17,20,0
3,8,0,4,11,0
0,6,0,2,1,0
3,2,0,0,4,0
0,2,0,1,5,0
0,4,0,1,5,0
4,9,6,2,9,2
16,34,11,1,1,1
19,29,19,7,0,9
16,22,15,15,4,14
5,17,4,18,12,23
7,22,8,22,4,22
10,28,14,21,3,21
12,28,11,15,6,18
5,27,12,21,0,20
2,3,2,4,0,4
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2,5,5,1,1,2
11,16,9,20,14,22
10,17,10,20,13,21
0,1,9,19,20,10
1,1,5,22,24,0
3,6,0,8,9,0
1,7,0,1,4,0
0,2,0,1,1,0
1,3,0,2,5,0
1,3,0,3,7,0
6,9,6,4,5,0
13,33,12,2,0,4
18,31,18,6,0,7
13,28,13,18,0,19
9,25,5,23,4,21
7,25,11,23,1,22
8,28,12,17,3,20
12,19,13,15,9,20
3,6,3,3,3,8
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
4,6,2,2,0,2
11,31,10,23,4,19
11,24,12,19,4,22
8,9,9,19,20,20
0,0,12,20,20,8
1,1,6,24,24,0
1,9,0,10,11,0
5,0,0,3,0,0
4,0,0,2,0,0
2,0,0,12,0,0
4,0,0,8,0,0
11,4,8,9,0,2
18,24,16,2,0,2
25,33,20,5,0,10
13,21,13,13,7,14
4,16,7,15,13,19
9,26,12,22,5,21
9,15,15,16,8,20
14,21,11,11,9,17
4,22,17,19,6,18
10,15,9,15,14,21
6,20,16,18,11,14
7,25,16,18,3,19
6,25,5,18,9,21
9,21,7,15,11,15
7,18,15,16,9,15
15,20,3,10,7,16
1,7,4,18,14,17
1,1,6,21,21,8
1,1,5,21,20,0
3,7,0,1,4,0
4,4,0,0,0,0
2,0,2,4,0,0
1,0,0,7,0,0
5,0,0,7,0,0
7,6,7,6,3,0
19,28,9,2,0,1
22,32,19,3,0,8
8,25,10,13,4,15
4,21,6,20,9,21
8,29,13,18,4,21
8,18,8,19,3,22
13,27,8,16,3,19
8,30,14,19,2,19
10,23,8,24,2,25
2,31,6,27,0,26
10,27,11,25,2,21
9,25,13,22,7,21
7,31,10,24,0,21
12,20,13,17,8,19
14,20,4,17,9,17
7,12,3,20,17,21
0,5,4,23,22,11
2,4,1,20,20,0
6,1,0,2,3,0
5,0,0,2,0,0
4,0,0,4,0,0
3,0,0,7,0,0
5,0,0,9,0,0
9,8,6,5,0,3
0,31,14,1,2,8
16,34,25,3,0,9
14,29,18,18,1,16
9,29,4,24,0,27
8,27,3,22,1,24
10,27,11,22,3,21
15,17,13,15,10,19
5,23,17,16,7,19
9,15,10,15,16,19
2,15,17,21,12,21
13,20,16,16,10,16
12,25,15,23,5,20
8,27,10,20,4,20
9,23,11,16,5,21
13,23,5,15,9,19
3,10,7,20,14,21
0,5,5,21,18,6
1,3,6,22,22,0
7,0,0,6,3,0
5,0,0,3,0,0
7,0,0,2,0,0
3,0,0,11,0,0
2,0,0,7,0,0
9,6,4,7,2,1
11,33,17,2,0,2
21,30,17,7,0,7
12,25,12,16,3,16
6,13,7,18,15,19
0,4,0,3,1,1
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
8,13,7,10,5,8
7,10,7,18,15,21
1,1,11,17,21,7
1,2,5,21,22,0
6,1,0,6,7,0
7,0,0,3,0,0
2,0,0,6,0,0
3,0,0,6,0,0
4,0,0,10,0,0
12,6,2,7,0,3
18,26,18,2,0,1
23,31,20,4,0,6
17,24,13,13,4,16
5,20,3,19,13,21
9,22,13,16,9,18
10,26,11,20,2,19
13,20,11,12,8,18
9,21,15,18,7,17
9,13,10,17,13,21
7,22,11,19,9,22
9,20,16,18,11,18
7,26,15,18,2,18
10,24,10,19,9,18
8,14,16,18,16,5
12,8,14,16,15,12
7,12,5,20,14,21
1,2,10,20,17,6
2,2,6,23,21,0
2,3,0,8,9,0
8,0,0,6,0,0
4,0,0,4,0,0
0,0,0,6,0,0
7,0,0,7,0,0
7,5,6,13,0,2
24,27,12,2,0,1
23,34,16,6,0,9
13,29,12,15,6,15
4,21,5,16,12,18
11,21,12,17,8,20
11,27,13,16,6,19
12,23,12,16,5,17
3,23,16,17,7,17
10,18,11,17,10,20
4,19,14,23,9,19
