"dep36l","dep36r","dep01","arr36l","arr36r","arr01"
0,3,10,24,23,0
0,3,0,9,8,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
13,22,15,3,0,2
27,34,19,3,1,7
18,17,16,15,8,17
7,19,9,18,13,20
8,19,10,18,12,21
9,23,10,17,8,22
13,21,19,17,8,20
5,22,15,17,9,17
12,15,11,12,12,20
3,28,13,23,3,22
8,27,10,20,6,19
8,25,12,15,8,19
9,22,7,17,10,17
12,20,12,16,8,14
12,21,2,15,8,22
7,13,5,18,15,24
0,3,4,18,19,4
1,2,6,23,25,0
5,9,0,4,9,0
2,6,0,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
1,2,0,2,2,0
8,10,6,5,6,1
22,30,13,3,0,0
29,26,21,3,0,10
11,23,16,14,8,16
6,20,7,15,13,22
10,24,10,19,10,22
7,22,9,21,0,19
12,31,11,19,2,24
3,20,5,16,0,19
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
11,26,11,19,3,21
11,29,11,20,4,20
11,25,11,19,6,20
11,20,7,18,11,21
9,16,2,22,14,21
0,3,3,20,19,8
1,1,6,27,27,0
5,3,0,7,3,0
8,0,0,2,0,0
2,0,0,4,0,0
1,0,0,5,0,0
4,0,0,12,0,0
11,13,8,9,1,2
12,32,16,4,0,2
24,32,22,7,0,7
11,28,13,18,3,20
6,23,5,18,3,27
6,22,5,23,2,23
9,32,5,21,2,21
11,24,15,17,6,21
5,23,16,18,7,18
11,16,11,15,15,19
8,24,16,18,9,14
5,29,12,22,4,22
9,25,12,21,0,21
9,26,8,23,0,21
7,24,8,22,18,20
11,27,6,36,1,22
5,16,2,26,0,24
2,5,3,30,14,14
0,0,11,24,26,0
2,7,0,4,8,0
6,0,0,4,0,0
6,0,0,3,0,0
1,0,0,10,0,0
3,0,0,13,0,0
10,10,8,7,0,2
15,36,15,5,0,2
25,31,19,6,1,6
17,17,16,13,13,17
7,13,9,21,14,17
8,19,10,18,10,16
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
4,7,7,3,3,3
11,28,9,19,4,23
11,21,14,19,11,22
9,21,12,18,11,21
11,14,7,22,13,20
1,3,3,21,20,6
0,0,7,24,21,0
3,8,0,7,11,0
5,2,0,5,0,0
2,0,0,3,0,0
3,0,0,8,0,0
4,0,0,12,0,0
11,5,9,7,0,2
20,31,16,2,0,4
26,27,25,6,3,7
13,24,17,13,8,13
5,17,10,20,14,18
11,16,12,16,10,21
9,23,11,18,8,18
11,20,14,16,11,17
7,26,17,20,7,19
7,18,12,21,9,21
6,22,11,17,9,16
7,23,15,19,9,17
9,24,15,17,11,21
10,27,10,19,6,21
11,25,14,18,12,18
11,21,7,16,11,15
12,16,2,22,17,22
1,7,4,24,19,10
1,0,11,23,25,0
0,5,4,1,18,0
0,6,0,0,4,0
0,6,0,0,3,0
0,1,0,0,8,0
0,5,0,0,13,0
10,8,7,0,9,2
19,23,16,2,0,1
25,30,25,6,1,6
17,21,11,15,5,16
6,21,5,18,11,22
7,22,11,17,9,21
10,25,9,23,0,21
9,27,10,24,2,24
10,28,12,18,1,21
8,21,9,20,6,22
6,24,11,23,6,24
7,29,11,12,4,20
9,25,15,18,10,21
13,28,11,18,2,19
10,24,11,20,4,20
9,21,7,19,9,24
12,14,5,17,14,21
1,7,7,25,17,11
1,3,7,24,26,0
4,3,0,10,11,0
9,0,0,3,0,0
4,0,0,2,0,0
0,0,0,12,0,0
4,0,0,12,0,0
12,9,8,8,3,0
12,34,17,4,0,1
24,33,23,5,1,7
12,26,12,19,0,22
6,21,5,22,3,24
7,29,4,26,1,24
10,30,7,24,0,22
4,28,13,23,0,21
8,25,15,18,4,16
4,17,13,20,15,22
12,20,16,19,5,18
10,27,18,15,7,21
0,8,2,9,0,11
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,1,1,0
0,0,0,0,0,0
0,1,0,1,2,0
4,5,0,4,5,0
4,0,0,8,0,0
2,0,0,5,0,0
6,0,0,17,0,0
11,11,6,10,0,1
18,32,16,3,1,2
24,29,20,5,0,9
12,25,16,19,1,18
8,11,9,20,19,19
9,26,14,18,6,18
10,21,8,16,10,19
8,13,11,15,11,19
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
4,9,5,3,0,3
10,24,9,19,7,19
13,20,13,17,11,17
10,18,12,19,13,21
7,10,11,20,17,16
1,0,8,21,17,9
1,0,9,24,24,0
3,8,0,12,11,0
10,0,0,1,0,0
5,0,0,3,0,0
1,0,0,6,0,0
4,0,0,12,0,0
12,8,8,6,0,3
16,28,17,4,0,0
30,26,20,2,2,7
15,22,15,15,6,17
6,20,5,16,11,20
9,15,12,14,14,21
8,26,11,23,7,23
17,27,13,15,5,24
6,24,13,18,7,18
14,23,11,18,9,20
4,23,14,21,7,17
8,26,15,14,6,20
9,17,13,18,14,15
11,30,8,18,6,20
12,24,13,17,8,21
10,16,7,19,13,17
10,15,6,20,15,22
1,1,8,18,20,10
0,0,6,25,26,0
5,4,0,11,10,0
7,0,0,0,0,0
3,0,0,3,0,0
1,0,0,4,0,0
3,0,1,14,0,0
9,8,10,9,2,0
24,34,13,3,1,2
24,29,18,8,2,10
14,24,13,17,2,18
7,15,8,19,15,22
9,18,12,15,10,21
10,25,13,15,7,19
13,20,16,15,10,20
6,24,16,18,7,20
8,19,8,18,10,22
3,10,3,9,3,7
0,0,0,0,0,0
0,0,0,0,0,0
10,19,8,14,3,11
11,26,14,20,1,20
9,19,5,21,11,21
9,19,2,22,9,24
1,2,11,25,23,10
0,1,10,25,29,0
4,7,0,8,3,0
8,0,0,4,0,0
3,0,0,3,0,0
2,0,0,9,0,0
3,0,0,12,0,0
12,8,9,7,0,4
18,36,15,2,0,1
20,28,17,4,6,4
15,31,13,20,0,20
5,21,5,17,6,24
12,20,6,18,10,22
10,19,14,20,10,18
3,5,2,8,0,8
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
10,14,6,13,5,11
11,17,5,21,16,19
1,9,6,22,17,8
1,0,10,31,29,0
2,4,0,16,15,0
7,0,3,4,0,0
3,0,0,3,0,0
2,0,0,9,0,0
3,0,0,9,0,0
17,7,9,6,0,3
15,35,17,3,0,2
22,26,18,8,0,10
10,23,18,20,4,15
8,17,12,17,14,20
12,21,11,16,11,20
4,11,7,9,6,11
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,5,1,9,2,7
14,20,9,19,10,17
20,35,15,18,3,19
9,20,13,14,11,25
8,7,12,16,20,11
2,0,16,26,25,0
3,1,6,28,27,0
4,3,0,8,5,0
6,0,0,5,0,0
2,0,0,8,0,0
5,0,0,14,0,0
14,4,9,5,0,2
22,31,16,4,0,4
25,31,21,6,0,10
9,23,14,17,5,14
7,20,8,20,10,19
9,19,13,16,8,19
10,19,8,16,11,22
11,20,14,16,9,20
7,27,13,19,3,21
0,0,0,3,2,2
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
9,21,14,15,10,16
10,32,10,20,5,24
11,20,10,15,11,18
12,18,4,18,14,18
3,9,10,25,16,7
1,0,10,28,27,0
3,10,0,11,14,0
3,6,0,6,0,0
3,0,0,4,0,0
3,0,0,9,0,0
3,0,0,11,0,0
13,8,7,9,0,3
17,31,16,3,0,1
28,32,21,5,0,7
13,23,14,17,6,16
6,13,8,17,17,17
7,21,17,19,10,17
10,24,10,19,10,19
13,28,14,19,1,20
6,30,9,22,1,28
12,16,13,19,2,22
5,27,9,24,1,21
10,27,11,20,4,21
10,24,7,17,4,23
9,26,12,21,3,20
9,26,9,18,6,19
9,26,11,19,3,21
9,18,3,22,5,22
3,9,5,22,17,12
0,0,10,24,26,0
2,5,2,14,18,0
3,6,0,0,7,0
1,4,0,1,4,0
0,5,0,3,4,0
1,2,0,4,11,0
11,13,5,0,7,2
17,30,12,4,1,2
26,31,23,2,1,7
14,27,15,18,0,20
6,15,6,19,9,24
7,21,13,12,11,20
10,20,7,18,12,18
12,18,16,16,9,17
6,24,15,19,1,17
10,17,12,12,10,18
5,18,19,15,16,15
4,23,11,17,13,16
8,25,19,18,9,18
10,20,4,12,13,16
9,22,14,11,9,18
10,19,7,16,14,20
11,13,8,13,17,19
0,6,5,23,23,11
0,3,7,22,26,0
4,11,0,10,13,0
6,1,0,2,2,0
3,0,0,5,0,0
3,0,0,5,0,0
4,0,0,10,0,0
8,9,8,7,0,1
23,26,14,4,0,4
25,29,18,5,0,7
13,19,14,13,7,16
6,13,7,17,18,18
8,24,16,17,8,19
9,24,12,18,8,21
12,26,15,13,6,18
8,16,13,16,14,20
11,16,14,15,13,20
5,23,21,16,8,18
9,21,14,21,8,19
10,23,11,17,9,19
10,29,14,17,4,19
7,21,15,17,11,18
15,17,9,18,12,18
9,8,15,20,16,17
2,0,6,20,21,7
1,2,8,24,25,0
1,6,1,12,12,0
0,7,0,0,4,0
0,4,0,0,5,0
0,0,0,0,4,0
1,4,0,2,11,0
9,12,10,1,7,1
21,32,15,5,0,4
26,31,19,6,1,9
15,22,14,15,6,18
6,19,8,17,12,21
9,21,13,17,8,19
5,21,10,20,7,20
13,20,13,15,7,22
9,25,15,20,5,19
9,15,12,18,10,20
4,27,17,20,5,17
6,14,10,16,5,11
0,0,0,0,0,0
0,0,0,0,0,0
9,15,9,10,2,14
10,31,8,22,4,21
8,17,5,17,13,20
2,5,3,23,22,11
0,0,9,28,28,0
3,9,1,10,10,0
1,5,0,0,1,0
