"","X","航班号","起飞机场","目的机场","rwy","ramp","s_arr_time","a_arr_time","oi_time","mission_full_date","time_wheelon_real","time_gatein","arr_taxi","mission_month","mission_date","dep_feb_15_per_arr","arr_feb_15_per_arr","dep_feb_60_per_arr","arr_feb_60_per_arr","pb_feb_15_per_arr","pb_feb_60_per_arr","heavy_dep_feb_per_arr","heavy_arr_feb_per_arr","flight_chosen_arr_36l"
"5",5,"CQN2301","ZUCK","ZBAA","36L","239",1009,1010,1017,20140228,610,617,7,2,28,9,11,32,50,6,7,4,2,1
"7",7,"CES5101","ZSSS","ZBAA","36L","221",1016,1016,1028,20140228,616,628,12,2,28,9,13,32,50,5,7,4,2,1
"17",17,"CHH7616","ZSDY","ZBAA","36L","108",1001,1001,1005,20140228,601,605,4,2,28,9,11,32,50,6,7,4,2,1
"40",40,"CES5177","ZSNB","ZBAA","36L","805",1000,959,1006,20140226,599,606,7,2,26,10,10,55,35,11,7,4,2,1
"45",45,"CSN3117","ZHHH","ZBAA","36L","219",953,952,1005,20140226,592,605,13,2,26,10,10,55,35,11,7,4,2,1
"47",47,"CSC8881","ZUUU","ZBAA","36L","337",940,939,956,20140226,579,596,17,2,26,15,9,55,35,10,7,4,2,1
"48",48,"CSN3123","ZGHA","ZBAA","36L","801",955,955,1000,20140226,595,600,5,2,26,10,10,55,35,11,7,4,2,1
"50",50,"CES2101","ZLXY","ZBAA","36L","222",951,950,1000,20140226,590,600,10,2,26,10,10,55,35,11,7,4,2,1
"52",52,"CCA1218","ZLIC","ZBAA","36L","312",943,942,1001,20140226,582,601,19,2,26,15,9,55,35,10,7,4,2,1
"53",53,"CES2411","ZLLL","ZBAA","36L","220",948,948,1000,20140226,588,600,12,2,26,10,10,55,35,11,7,4,2,1
"58",58,"KLM897","EHAM","ZBAA","36L","212",944,944,959,20140226,584,599,15,2,26,15,9,55,35,10,7,4,2,1
"63",63,"CES5169","ZSOF","ZBAA","36L","224",937,937,945,20140226,577,585,8,2,26,15,9,55,35,10,7,4,2,1
"65",65,"CES2077","ZLXN","ZBAA","36L","234",925,924,931,20140226,564,571,7,2,26,14,10,55,35,12,7,4,2,1
"66",66,"CES5131","ZSHC","ZBAA","36L","233",922,922,928,20140226,562,568,6,2,26,14,10,55,35,12,7,4,2,1
"68",68,"ETD886","OMAA","ZBAA","36L","518",935,913,935,20140226,553,575,22,2,26,16,6,55,35,17,7,4,2,1
"71",71,"CSH9107","ZSSS","ZBAA","36L","235",934,928,935,20140226,568,575,7,2,26,14,10,55,35,12,7,4,2,1
"72",72,"CES2911","ZSWX","ZBAA","36L","238",916,916,920,20140226,556,560,4,2,26,14,10,55,35,12,7,4,2,1
"75",75,"CES2121","ZLIC","ZBAA","36L","229",919,918,924,20140226,558,564,6,2,26,14,10,55,35,12,7,4,2,1
"78",78,"CES5635","ZSSH","ZBAA","36L","230",909,908,914,20140226,548,554,6,2,26,16,6,55,35,17,7,4,2,1
"90",90,"CSN3117","ZHHH","ZBAA","36L","227",952,952,958,20140225,592,598,6,2,25,13,10,56,35,5,7,4,2,1
"91",91,"CES5195","ZSQD","ZBAA","36L","814",954,954,959,20140225,594,599,5,2,25,13,10,56,35,5,7,4,2,1
"93",93,"CSC8881","ZUUU","ZBAA","36L","321",947,947,1003,20140225,587,603,16,2,25,13,10,56,35,5,7,4,2,1
"95",95,"CES5101","ZSSS","ZBAA","36L","221",959,958,1006,20140225,598,606,8,2,25,13,10,56,35,5,7,4,2,1
"96",96,"CCA1218","ZLIC","ZBAA","36L","311",942,942,1007,20140225,582,607,25,2,25,10,12,56,35,11,7,4,2,1
"98",98,"KLM897","EHAM","ZBAA","36L","217",944,944,953,20140225,584,593,9,2,25,10,12,56,35,11,7,4,2,1
"101",101,"CHH7238","ZLXY","ZBAA","36L","104",949,949,954,20140225,589,594,5,2,25,13,10,56,35,5,7,4,2,1
"104",104,"CCA4193","ZUUU","ZBAA","36L","328",938,937,955,20140225,577,595,18,2,25,10,12,56,35,11,7,4,2,1
"105",105,"CSN3123","ZGHA","ZBAA","36L","224",935,934,940,20140225,574,580,6,2,25,10,12,56,35,11,7,4,2,1
"107",107,"CES2077","ZLXN","ZBAA","36L","235",933,932,938,20140225,572,578,6,2,25,10,12,56,35,11,7,4,2,1
"111",111,"CES5131","ZSHC","ZBAA","36L","229",940,940,946,20140225,580,586,6,2,25,10,12,56,35,11,7,4,2,1
"113",113,"CSN6151","ZYYJ","ZBAA","36L","237",921,921,926,20140225,561,566,5,2,25,16,8,56,35,9,7,4,2,1
"114",114,"CES2121","ZLIC","ZBAA","36L","226",923,923,931,20140225,563,571,8,2,25,16,8,56,35,9,7,4,2,1
"116",116,"CES2101","ZLXY","ZBAA","36L","230",929,929,936,20140225,569,576,7,2,25,16,8,56,35,9,7,4,2,1
"117",117,"CCA912","ESSA","ZBAA","36L","526",927,926,936,20140225,566,576,10,2,25,16,8,56,35,9,7,4,2,1
"121",121,"CES5635","ZSSH","ZBAA","36L","233",901,900,908,20140225,540,548,8,2,25,17,5,56,35,15,7,4,2,1
"124",124,"CSN6143","ZYCC","ZBAA","36L","804",911,911,916,20140225,551,556,5,2,25,17,5,56,35,15,7,4,2,1
"145",145,"CES2121","ZLIC","ZBAA","36L","231",925,926,933,20140224,566,573,7,2,24,15,6,54,40,8,7,4,2,1
"146",146,"CES2077","ZLXN","ZBAA","36L","239",929,928,933,20140224,568,573,5,2,24,15,6,54,40,8,7,4,2,1
"152",152,"CES2101","ZLXY","ZBAA","36L","229",935,934,939,20140224,574,579,5,2,24,8,16,54,40,12,7,4,2,1
"155",155,"ETD888","OMAA","ZBAA","36L","523",936,936,946,20140224,576,586,10,2,24,8,16,54,40,12,7,4,2,1
"158",158,"CSN6151","ZYYJ","ZBAA","36L","238",922,921,927,20140224,561,567,6,2,24,15,6,54,40,8,7,4,2,1
"161",161,"CES5635","ZSSH","ZBAA","36L","232",911,911,918,20140224,551,558,7,2,24,21,6,54,40,14,7,4,2,1
"163",163,"CES5137","ZSSS","ZBAA","36L","224",902,901,908,20140224,541,548,7,2,24,21,6,54,40,14,7,4,2,1
"164",164,"CHH7966","ULLI","ZBAA","36L","W205",907,906,911,20140224,546,551,5,2,24,21,6,54,40,14,7,4,2,1
"219",219,"CXA8113","ZSQZ","ZBAA","36L","237",1455,1456,1501,20140214,896,901,5,2,14,13,11,42,43,9,7,4,2,1
"221",221,"CCA1336","ZGNN","ZBAA","36L","333",1448,1447,1503,20140214,887,903,16,2,14,13,11,42,43,9,7,4,2,1
"222",222,"CES2821","ZSNJ","ZBAA","36L","804",1459,1458,1504,20140214,898,904,6,2,14,13,11,42,43,9,7,4,2,1
"227",227,"HVN512","VVNB","ZBAA","36L","206",1440,1440,1452,20140214,880,892,12,2,14,11,11,42,43,12,7,4,2,1
"228",228,"CES5167","ZSHC","ZBAA","36L","801",1450,1449,1454,20140214,889,894,5,2,14,13,11,42,43,9,7,4,2,1
"230",230,"CES564","ZSPD","ZBAA","36L","811",1454,1453,1457,20140214,893,897,4,2,14,13,11,42,43,9,7,4,2,1
"231",231,"SIA802","WSSS","ZBAA","36L","509",1444,1444,1459,20140214,884,899,15,2,14,11,11,42,43,12,7,4,2,1
"235",235,"CES5269","ZBYN","ZBAA","36L","228",1435,1435,1441,20140214,875,881,6,2,14,11,11,42,43,12,7,4,2,1
"236",236,"CSN6121","ZYTL","ZBAA","36L","239",1437,1437,1443,20140214,877,883,6,2,14,11,11,42,43,12,7,4,2,1
"240",240,"CHH7632","ZLLL","ZBAA","36L","W204",1429,1428,1432,20140214,868,872,4,2,14,7,10,42,43,7,7,4,2,1
"243",243,"CSN3141","ZGHA","ZBAA","36L","706",1426,1429,1434,20140214,869,874,5,2,14,7,10,42,43,7,7,4,2,1
"244",244,"CES2105","ZLXY","ZBAA","36L","224",1432,1431,1440,20140214,871,880,9,2,14,11,11,42,43,12,7,4,2,1
"248",248,"CHH7636","ZGHA","ZBAA","36L","107",1417,1416,1420,20140214,856,860,4,2,14,7,10,42,43,7,7,4,2,1
"253",253,"CCA1312","ZGKL","ZBAA","36L","313",1404,1404,1425,20140214,844,865,21,2,14,11,11,42,43,12,7,4,2,1
"255",255,"CHH7278","ZSHC","ZBAA","36L","W208",1422,1422,1426,20140214,862,866,4,2,14,7,10,42,43,7,7,4,2,1
"256",256,"CSN6103","ZYTX","ZBAA","36L","226",1354,1353,1401,20140214,833,841,8,2,14,10,9,44,42,12,7,4,2,1
"258",258,"CSC8885","ZUUU","ZBAA","36L","335",1347,1347,1407,20140214,827,847,20,2,14,10,9,44,42,12,7,4,2,1
"262",262,"CSN6606","ZHHH","ZBAA","36L","231",1408,1408,1413,20140214,848,853,5,2,14,11,11,42,43,12,7,4,2,1
"263",263,"CHH7766","ZYCC","ZBAA","36L","W202",1359,1410,1413,20140214,850,853,3,2,14,11,11,42,43,12,7,4,2,1
"264",264,"CHH7116","ZBMZ","ZBAA","36L","111",1349,1348,1352,20140214,828,832,4,2,14,10,9,44,42,12,7,4,2,1
"270",270,"CSN3147","ZGHA","ZBAA","36L","239",1336,1336,1342,20140214,816,822,6,2,14,12,10,44,42,15,7,4,2,1
"273",273,"CSN6901","ZWWW","ZBAA","36L","235",1340,1340,1345,20140214,820,825,5,2,14,12,10,44,42,15,7,4,2,1
"275",275,"CSN6187","ZUGY","ZBAA","36L","232",1342,1342,1347,20140214,822,827,5,2,14,12,10,44,42,15,7,4,2,1
"279",279,"CSN318","RKSS","ZBAA","36L","806",1327,1327,1332,20140214,807,812,5,2,14,12,12,44,42,10,7,4,2,1
"280",280,"CES2111","ZLXY","ZBAA","36L","233",1330,1329,1334,20140214,809,814,5,2,14,12,12,44,42,10,7,4,2,1
"281",281,"CCA1150","ZBDS","ZBAA","36L","404",1318,1317,1336,20140214,797,816,19,2,14,12,12,44,42,10,7,4,2,1
"283",283,"CCA4115","ZUUU","ZBAA","36L","328",1326,1325,1339,20140214,805,819,14,2,14,12,12,44,42,10,7,4,2,1
"285",285,"CES5107","ZSSS","ZBAA","36L","224",1310,1310,1317,20140214,790,797,7,2,14,10,11,44,42,12,7,4,2,1
"286",286,"CHH7608","ZSSS","ZBAA","36L","A106",1313,1313,1321,20140214,793,801,8,2,14,10,11,44,42,12,7,4,2,1
"291",291,"CSN3159","ZGSZ","ZBAA","36L","221",1321,1320,1326,20140214,800,806,6,2,14,12,12,44,42,10,7,4,2,1
"296",296,"CSN3121","ZGGG","ZBAA","36L","230",1302,1302,1309,20140214,782,789,7,2,14,10,11,44,42,12,7,4,2,1
"304",304,"CAO1042","EDDF","ZBAA","36L","N202",1246,1245,1259,20140214,765,779,14,2,14,8,12,41,41,11,7,4,2,1
"306",306,"CHH7104","ZYMD","ZBAA","36L","108",1241,1254,1259,20140214,774,779,5,2,14,8,12,41,41,11,7,4,2,1
"308",308,"CES2092","ZSCN","ZBAA","36L","805",1259,1257,1303,20140214,777,783,6,2,14,8,12,41,41,11,7,4,2,1
"311",311,"CSN3119","ZJHK","ZBAA","36L","228",1231,1229,1250,20140214,749,770,21,2,14,12,10,41,41,9,7,4,2,1
"314",314,"CHH7138","ZLXY","ZBAA","36L","W209",1244,1243,1252,20140214,763,772,9,2,14,9,10,41,41,8,7,4,2,1
"317",317,"KAL855","RKSI","ZBAA","36L","210",1233,1232,1250,20140214,752,770,18,2,14,9,10,41,41,8,7,4,2,1
"320",320,"CXA8165","ZSFZ","ZBAA","36L","240",1251,1250,1256,20140214,770,776,6,2,14,8,12,41,41,11,7,4,2,1
"321",321,"CHH7346","ZWWW","ZBAA","36L","104",1235,1234,1240,20140214,754,760,6,2,14,9,10,41,41,8,7,4,2,1
"322",322,"CSN6907","ZWWW","ZBAA","36L","238",1238,1238,1242,20140214,758,762,4,2,14,9,10,41,41,8,7,4,2,1
"324",324,"CSH9157","ZSHC","ZBAA","36L","237",1240,1240,1247,20140214,760,767,7,2,14,9,10,41,41,8,7,4,2,1
"326",326,"GCR6573","ZSAQ","ZBAA","36L","W201",1229,1228,1233,20140214,748,753,5,2,14,12,10,41,41,9,7,4,2,1
"328",328,"CBJ5316","ZYJX","ZBAA","36L","116",1226,1222,1228,20140214,742,748,6,2,14,12,10,41,41,9,7,4,2,1
"330",330,"CSN6711","ZJSY","ZBAA","36L","219",1222,1221,1229,20140214,741,749,8,2,14,12,10,41,41,9,7,4,2,1
"334",334,"PAL358","RPLL","ZBAA","36L","505",1157,1158,1214,20140214,718,734,16,2,14,15,7,51,34,18,7,4,2,1
"336",336,"CHH7710","ZGSZ","ZBAA","36L","A113",1207,1206,1221,20140214,726,741,15,2,14,12,9,41,41,9,7,4,2,1
"337",337,"CHH7181","ZJHK","ZBAA","36L","W210",1216,1216,1221,20140214,736,741,5,2,14,12,10,41,41,9,7,4,2,1
"342",342,"CES2884","ZBTL","ZBAA","36L","227",1205,1203,1212,20140214,723,732,9,2,14,12,9,41,41,9,7,4,2,1
"344",344,"CES5105","ZSSS","ZBAA","36L","221",1201,1200,1209,20140214,720,729,9,2,14,12,9,41,41,9,7,4,2,1
"347",347,"CRK336","VHHH","ZBAA","36L","208",1146,1147,1158,20140214,707,718,11,2,14,15,7,51,34,18,7,4,2,1
"348",348,"CSN3731","ZGSD","ZBAA","36L","231",1154,1154,1200,20140214,714,720,6,2,14,15,7,51,34,18,7,4,2,1
"349",349,"CSN6129","ZYTL","ZBAA","36L","229",1152,1151,1159,20140214,711,719,8,2,14,15,7,51,34,18,7,4,2,1
"351",351,"CES5713","ZPPP","ZBAA","36L","220",1126,1125,1137,20140214,685,697,12,2,14,13,9,51,34,8,7,4,2,1
"352",352,"CHH7804","ZGGG","ZBAA","36L","115",1141,1140,1145,20140214,700,705,5,2,14,9,8,51,34,15,7,4,2,1
"357",357,"CES2786","ZYTX","ZBAA","36L","232",1144,1144,1152,20140214,704,712,8,2,14,9,8,51,34,15,7,4,2,1
"358",358,"CCA4137","ZUCK","ZBAA","36L","414",1114,1113,1128,20140214,673,688,15,2,14,14,10,51,34,8,7,4,2,1
"361",361,"CSN3151","ZGSZ","ZBAA","36L","236",1129,1130,1134,20140214,690,694,4,2,14,9,8,51,34,15,7,4,2,1
"367",367,"CCA4171","ZPPP","ZBAA","36L","330",1107,1106,1124,20140214,666,684,18,2,14,14,10,51,34,8,7,4,2,1
"368",368,"CES5709","ZULZ","ZBAA","36L","234",1120,1118,1122,20140214,678,682,4,2,14,13,9,51,34,8,7,4,2,1
"370",370,"CSN3277","ZGNN","ZBAA","36L","230",1118,1118,1122,20140214,678,682,4,2,14,13,9,51,34,8,7,4,2,1
"371",371,"HDA900","VHHH","ZBAA","36L","523",1112,1110,1123,20140214,670,683,13,2,14,14,10,51,34,8,7,4,2,1
"372",372,"CCA938","EGLL","ZBAA","36L","526",1109,1109,1124,20140214,669,684,15,2,14,14,10,51,34,8,7,4,2,1
"373",373,"CES5129","ZSPD","ZBAA","36L","235",1121,1120,1126,20140214,680,686,6,2,14,13,9,51,34,8,7,4,2,1
"374",374,"CES2434","ZBLL","ZBAA","36L","240",1105,1103,1109,20140214,663,669,6,2,14,14,10,51,34,8,7,4,2,1
"375",375,"CES5103","ZSSS","ZBAA","36L","224",1059,1059,1109,20140214,659,669,10,2,14,12,11,50,44,14,7,4,2,1
"377",377,"CSN3281","ZGKL","ZBAA","36L","222",1102,1102,1113,20140214,662,673,11,2,14,14,10,51,34,8,7,4,2,1
"382",382,"CCA1332","ZHCC","ZBAA","36L","304",1043,1043,1102,20140214,643,662,19,2,14,9,14,50,44,9,7,4,2,1
"383",383,"CSN3101","ZGGG","ZBAA","36L","239",1056,1056,1101,20140214,656,661,5,2,14,12,11,50,44,14,7,4,2,1
"384",384,"CXA8115","ZSFZ","ZBAA","36L","228",1053,1053,1100,20140214,653,660,7,2,14,12,11,50,44,14,7,4,2,1
"387",387,"CCA4129","ZUCK","ZBAA","36L","326",1029,1027,1054,20140214,627,654,27,2,14,15,11,50,44,8,7,4,2,1
"388",388,"CSN3681","ZUGY","ZBAA","36L","238",1051,1051,1057,20140214,651,657,6,2,14,12,11,50,44,14,7,4,2,1
"389",389,"CCA4161","ZUGY","ZBAA","36L","409",1047,1046,1100,20140214,646,660,14,2,14,12,11,50,44,14,7,4,2,1
"390",390,"CES2451","ZHHH","ZBAA","36L","237",1050,1049,1057,20140214,649,657,8,2,14,12,11,50,44,14,7,4,2,1
"392",392,"CES2103","ZLXY","ZBAA","36L","227",1036,1035,1044,20140214,635,644,9,2,14,9,14,50,44,9,7,4,2,1
"395",395,"CCA4113","ZUUU","ZBAA","36L","302",1020,1019,1045,20140214,619,645,26,2,14,15,11,50,44,8,7,4,2,1
"399",399,"CCA1206","ZLXY","ZBAA","36L","334",1024,1021,1051,20140214,621,651,30,2,14,15,11,50,44,8,7,4,2,1
"405",405,"CQN2301","ZUCK","ZBAA","36L","233",1036,1031,1036,20140214,631,636,5,2,14,9,14,50,44,9,7,4,2,1
"408",408,"CHH7638","ZPPP","ZBAA","36L","110",1038,1037,1041,20140214,637,641,4,2,14,9,14,50,44,9,7,4,2,1
"411",411,"AFL204","UUEE","ZBAA","36L","217",1005,1003,1024,20140214,603,624,21,2,14,14,8,50,44,5,7,4,2,1
"412",412,"KAL2851","RKSS","ZBAA","36L","214",1016,1015,1026,20140214,615,626,11,2,14,15,11,50,44,8,7,4,2,1
"416",416,"B8273","EFHK","ZBAA","36L","627",1010,1008,1024,20140214,608,624,16,2,14,14,8,50,44,5,7,4,2,1
"420",420,"CES5101","ZSSS","ZBAA","36L","221",1013,1011,1024,20140214,611,624,13,2,14,14,8,50,44,5,7,4,2,1
"476",476,"CHH7188","ZHHH","ZBAA","36L","104",1741,1741,1745,20140213,1061,1065,4,2,13,14,10,46,36,13,7,4,2,1
"480",480,"CSN3999","ZGGG","ZBAA","36L","231",1744,1744,1751,20140213,1064,1071,7,2,13,14,10,46,36,13,7,4,2,1
"483",483,"CSN6903","ZWWW","ZBAA","36L","220",1748,1747,1753,20140213,1067,1073,6,2,13,9,7,46,36,6,7,4,2,1
"485",485,"CES5193","ZSQD","ZBAA","36L","803",1739,1739,1743,20140213,1059,1063,4,2,13,14,10,46,36,13,7,4,2,1
"487",487,"CCA421","ZUUU","ZBAA","36L","553",1731,1731,1741,20140213,1051,1061,10,2,13,14,10,46,36,13,7,4,2,1
"489",489,"CES2113","ZLXY","ZBAA","36L","233",1735,1735,1741,20140213,1055,1061,6,2,13,14,10,46,36,13,7,4,2,1
"491",491,"CCA1224","ZLXY","ZBAA","36L","402",1710,1711,1730,20140213,1031,1050,19,2,13,9,10,46,36,11,7,4,2,1
"494",494,"VQBCE","VHHH","ZBAA","36L","N101",1728,1727,1734,20140213,1047,1054,7,2,13,14,9,46,36,11,7,4,2,1
"496",496,"CCA902","ZMUB","ZBAA","36L","460",1707,1707,1723,20140213,1027,1043,16,2,13,9,10,46,36,11,7,4,2,1
"497",497,"CCA1368","ZGSZ","ZBAA","36L","335",1706,1705,1721,20140213,1025,1041,16,2,13,9,10,46,36,11,7,4,2,1
"498",498,"CES2415","ZLLL","ZBAA","36L","240",1716,1715,1722,20140213,1035,1042,7,2,13,14,9,46,36,11,7,4,2,1
"503",503,"ETH604","HAAB","ZBAA","36L","518",1658,1658,1710,20140213,1018,1030,12,2,13,12,12,45,48,13,7,4,2,1
"505",505,"CES5115","ZSSS","ZBAA","36L","221",1702,1702,1715,20140213,1022,1035,13,2,13,9,10,46,36,11,7,4,2,1
"513",513,"CSN6991","ZLXN","ZBAA","36L","222",1653,1652,1656,20140213,1012,1016,4,2,13,12,12,45,48,13,7,4,2,1
"514",514,"GDC7216","ZGKL","ZBAA","36L","103",1654,1654,1700,20140213,1014,1020,6,2,13,12,12,45,48,13,7,4,2,1
"521",521,"CCA4141","ZUCK","ZBAA","36L","328",1636,1636,1653,20140213,996,1013,17,2,13,12,11,45,48,6,7,4,2,1
"522",522,"CHH7281","ZJHK","ZBAA","36L","107",1647,1647,1652,20140213,1007,1012,5,2,13,12,12,45,48,13,7,4,2,1
"523",523,"CES5700","ZHLY","ZBAA","36L","238",1651,1650,1655,20140213,1010,1015,5,2,13,12,12,45,48,13,7,4,2,1
"524",524,"CCA4103","ZUUU","ZBAA","36L","332",1624,1624,1640,20140213,984,1000,16,2,13,13,10,45,48,9,7,4,2,1
"527",527,"CSN3902","ZPPP","ZBAA","36L","W106",1640,1640,1642,20140213,1000,1002,2,2,13,12,11,45,48,6,7,4,2,1
"529",529,"CSN3173","ZHCC","ZBAA","36L","705",1633,1633,1640,20140213,993,1000,7,2,13,12,11,45,48,6,7,4,2,1
"531",531,"CES2453","ZHHH","ZBAA","36L","226",1639,1638,1642,20140213,998,1002,4,2,13,12,11,45,48,6,7,4,2,1
"532",532,"CSN309","VHHH","ZBAA","36L","207",1629,1628,1633,20140213,988,993,5,2,13,13,10,45,48,9,7,4,2,1
"533",533,"CES5295","ZBYN","ZBAA","36L","233",1621,1620,1625,20140213,980,985,5,2,13,13,10,45,48,9,7,4,2,1
"534",534,"CSC8887","ZUUU","ZBAA","36L","337",1611,1610,1624,20140213,970,984,14,2,13,8,15,45,48,10,7,4,2,1
"538",538,"CSN3633","ZGHA","ZBAA","36L","227",1631,1631,1634,20140213,991,994,3,2,13,12,11,45,48,6,7,4,2,1
"539",539,"CCA1416","ZUUU","ZBAA","36L","462",1622,1622,1633,20140213,982,993,11,2,13,13,10,45,48,9,7,4,2,1
"543",543,"CHH7806","ZGGG","ZBAA","36L","W207",1612,1612,1616,20140213,972,976,4,2,13,8,15,45,48,10,7,4,2,1
"544",544,"CCA1452","ZUMY","ZBAA","36L","323",1558,1558,1617,20140213,958,977,19,2,13,7,16,36,52,12,7,4,2,1
"545",545,"AFR382","LFPG","ZBAA","36L","214",1604,1604,1617,20140213,964,977,13,2,13,8,15,45,48,10,7,4,2,1
"551",551,"CBJ5358","ZBER","ZBAA","36L","116",1608,1607,1610,20140213,967,970,3,2,13,8,15,45,48,10,7,4,2,1
"553",553,"CCA1380","ZJHK","ZBAA","36L","455",1555,1555,1611,20140213,955,971,16,2,13,7,16,36,52,12,7,4,2,1
"555",555,"CCA1214","ZLIC","ZBAA","36L","303",1553,1552,1611,20140213,952,971,19,2,13,7,16,36,52,12,7,4,2,1
"560",560,"CHH7246","ZWWW","ZBAA","36L","W201",1602,1601,1606,20140213,961,966,5,2,13,8,15,45,48,10,7,4,2,1
"563",563,"UAL851","KORD","ZBAA","36L","529",1540,1539,1559,20140213,939,959,20,2,13,9,13,36,52,15,7,4,2,1
"568",568,"CCA1352","ZGGG","ZBAA","36L","307",1535,1535,1602,20140213,935,962,27,2,13,9,13,36,52,15,7,4,2,1
"570",570,"CSC8831","ZUCK","ZBAA","36L","320",1549,1550,1605,20140213,950,965,15,2,13,7,16,36,52,12,7,4,2,1
"575",575,"CHH7390","ZLYA","ZBAA","36L","108",1543,1542,1547,20140213,942,947,5,2,13,9,13,36,52,15,7,4,2,1
"577",577,"THY20","LTBA","ZBAA","36L","513",1533,1532,1551,20140213,932,951,19,2,13,9,13,36,52,15,7,4,2,1
"580",580,"CES2109","ZLXY","ZBAA","36L","240",1546,1545,1552,20140213,945,952,7,2,13,7,16,36,52,12,7,4,2,1
"584",584,"THA614","VTBS","ZBAA","36L","512",1525,1524,1540,20140213,924,940,16,2,13,12,8,36,52,7,7,4,2,1
"587",587,"CCA1406","ZUUU","ZBAA","36L","329",1503,1502,1521,20140213,902,921,19,2,13,8,15,36,52,12,7,4,2,1
"588",588,"B6933","ZJSY","ZBAA","36L","N104B",1516,1515,1521,20140213,915,921,6,2,13,12,8,36,52,7,7,4,2,1
"589",589,"DAL189","KDTW","ZBAA","36L","217",1513,1512,1521,20140213,912,921,9,2,13,8,15,36,52,12,7,4,2,1
"590",590,"CCA1210","ZLXY","ZBAA","36L","330",1508,1509,1523,20140213,909,923,14,2,13,8,15,36,52,12,7,4,2,1
"595",595,"CSN3193","ZGSZ","ZBAA","36L","704",1520,1519,1530,20140213,919,930,11,2,13,12,8,36,52,7,7,4,2,1
"883",883,"CSN3155","ZGSZ","ZBAA","36L","731",2242,2242,2253,20140220,1362,1373,11,2,20,7,14,34,53,4,7,4,2,1
"886",886,"CCA1140","ZBYC","ZBAA","36L","M08",2248,2248,2300,20140220,1368,1380,12,2,20,7,15,34,53,3,7,4,2,1
"887",887,"CES2459","ZHHH","ZBAA","36L","801",2253,2252,2259,20140220,1372,1379,7,2,20,7,15,34,53,3,7,4,2,1
"888",888,"CHH7602","ZSSS","ZBAA","36L","A106",2250,2250,2257,20140220,1370,1377,7,2,20,7,15,34,53,3,7,4,2,1
"892",892,"CSN3915","ZUZY","ZBAA","36L","610",2245,2243,2259,20140220,1363,1379,16,2,20,7,14,34,53,4,7,4,2,1
"893",893,"CSC8529","ZUUU","ZBAA","36L","559",2238,2238,2250,20140220,1358,1370,12,2,20,7,14,34,53,4,7,4,2,1
"896",896,"CXA8147","ZGHA","ZBAA","36L","236",2256,2256,2303,20140220,1376,1383,7,2,20,7,15,34,53,3,7,4,2,1
"897",897,"CSN3161","ZGGG","ZBAA","36L","239",2259,2258,2303,20140220,1378,1383,5,2,20,7,15,34,53,3,7,4,2,1
"900",900,"CSN6719","ZJHK","ZBAA","36L","723",2232,2233,2245,20140220,1353,1365,12,2,20,7,14,34,53,4,7,4,2,1
"901",901,"CSN6945","ZUNC","ZBAA","36L","711",2230,2231,2246,20140220,1351,1366,15,2,20,7,14,34,53,4,7,4,2,1
"902",902,"CES2119","ZLXY","ZBAA","36L","804",2240,2240,2247,20140220,1360,1367,7,2,20,7,14,34,53,4,7,4,2,1
"905",905,"CHH7612","ZBCZ","ZBAA","36L","111",2236,2236,2241,20140220,1356,1361,5,2,20,7,14,34,53,4,7,4,2,1
"906",906,"CSN6717","ZJSY","ZBAA","36L","612",2235,2235,2250,20140220,1355,1370,15,2,20,7,14,34,53,4,7,4,2,1
"911",911,"CSN6947","ZLXY","ZBAA","36L","237",2225,2225,2232,20140220,1345,1352,7,2,20,10,12,34,53,8,7,4,2,1
"913",913,"CHH7802","ZGGG","ZBAA","36L","N109",2227,2227,2235,20140220,1347,1355,8,2,20,10,12,34,53,8,7,4,2,1
"916",916,"CCA1436","ZUCK","ZBAA","36L","313",2222,2221,2242,20140220,1341,1362,21,2,20,10,12,34,53,8,7,4,2,1
"917",917,"CHH7146","ZWWW","ZBAA","36L","104",2224,2223,2228,20140220,1343,1348,5,2,20,10,12,34,53,8,7,4,2,1
"924",924,"CCA906","ZPPP","ZBAA","36L","353",2209,2208,2222,20140220,1328,1342,14,2,20,10,12,34,53,14,7,4,2,1
"925",925,"CXA8109","ZSFZ","ZBAA","36L","231",2217,2217,2224,20140220,1337,1344,7,2,20,10,12,34,53,8,7,4,2,1
"928",928,"PAT78","RJTY","ZBAA","36L","709",2158,2156,2210,20140220,1316,1330,14,2,20,6,11,35,47,7,7,4,2,1
"934",934,"CSN6179","ZYCC","ZBAA","36L","226",2202,2201,2208,20140220,1321,1328,7,2,20,10,12,34,53,14,7,4,2,1
"936",936,"CSN6127","ZYTL","ZBAA","36L","233",2152,2152,2157,20140220,1312,1317,5,2,20,6,11,35,47,7,7,4,2,1
"941",941,"CCA1298","ZWWW","ZBAA","36L","M04",2150,2149,2206,20140220,1309,1326,17,2,20,6,11,35,47,7,7,4,2,1
"942",942,"CSN6115","ZYTX","ZBAA","36L","235",2200,2159,2205,20140220,1319,1325,6,2,20,6,11,35,47,7,7,4,2,1
"945",945,"CXA8169","ZSAM","ZBAA","36L","239",2141,2141,2147,20140220,1301,1307,6,2,20,12,9,35,47,7,7,4,2,1
"946",946,"CSN3105","ZGGG","ZBAA","36L","210",2134,2134,2145,20140220,1294,1305,11,2,20,12,9,35,47,7,7,4,2,1
